Standard,Padrão
Minimal,Mínimo
Optional,Opcional
Required,Necessário
Hidden,Escondido
"The one page checkout is disabled.","O check-out uma página está desativado."
"One Page Checkout Section","Seção de uma página de Checkout"
"One Page Checkout","Uma página de Checkout"
"Default Shipping Method","Método de envio padrão"
"Default Payment Method","Método de pagamento padrão"
"Default Country","País padrão"
GeoIP,GeoIP
"Enable Country Detection","Ativar a detecção de país"
"<a href='http://geolite.maxmind.com/download/geoip/database/GeoLiteCountry/GeoIP.dat.gz' title='Download GeoIP database'>Download</a> and unzip file under the 'MAGETO_ROOT/lib/MaxMind/GeoIP/data' folder if you don't have it","<a href='http://geolite.maxmind.com/download/geoip/database/GeoLiteCountry/GeoIP.dat.gz' title='Download GeoIP database'> Baixe</a> e descompacte o arquivo na pasta ' MAGETO_ROOT/lib/MaxMind/GeoIP/dados' se você não tem"
"Enable City Detection","Cidade de ativar deteção"
"<a href='http://geolite.maxmind.com/download/geoip/database/GeoLiteCity.dat.gz' title='Download GeoCity database'>Download</a> and unzip file under the 'MAGETO_ROOT/lib/MaxMind/GeoIP/data' folder if you don't have it","<a href='http://geolite.maxmind.com/download/geoip/database/GeoLiteCity.dat.gz' title='Download GeoCity database'> Baixe</a> e descompacte o arquivo na pasta ' MAGETO_ROOT/lib/MaxMind/GeoIP/dados' se você não tem"
"Show Shipping Address Form","Mostrar formulário endereço de envio"
"Show Subscribe to Newsletter Checkbox","Visualizar Subscrever Newsletter Checkbox"
"Address Form Fields","Campos de formulário do endereço"
"Before changing some of the fields, be sure that your payment/shipping provider does not require them","Antes de alterar alguns dos campos, certifique-se de que seu provedor de pagamento/frete não exige-lhes"
"Output Type","Tipo de saída"
"Create account for later use","Criar conta para uso posterior"
"Checkout Review","Revisão de check-out"
"Already registered? Click here to login","Já registrado? Clique aqui para login"
"Show Comment Field","Mostrar o campo de comentário"
"New Address","Novo endereço"
Country,País
Checkout,Check-out
"Coupon code was canceled.","Código de cupom foi cancelado."
"Cannot apply the coupon code.","Não é possível aplicar o código do cupom."
"Coupon code ""%s"" was applied.","Código de cupom ""%s"" foi aplicado."
"Coupon code ""%s"" is not valid.","Código de cupom ""%s"" não é válido."
"Please enter your email.","Por favor digite o seu e-mail."
"Invalid email address.","Endereço de e-mail inválido."
"This email address was not found in our records.","Este endereço de e-mail não foi encontrado em nossos registros."
"A new password has been sent.","Uma nova senha foi enviada."
"Login and password are required.","Login e senha são necessários."
"Email is not confirmed. <a href=""%s"">Resend confirmation email.</a>","E-mail não é confirmada. <a href=""%s""> reenviar e-mail de confirmação.</a>"
"Please agree to all the terms and conditions.","Por favor, concorde com todos os termos e condições."
"There was an error processing your order. Please contact support or try again later.","Houve um erro ao processar sua ordem. Por favor entre em contato com o suporte, ou tente novamente mais tarde."
"Unable to set Payment Method.","Não é possível definir o método de pagamento."
"Sorry, subscription for guests is not allowed. Please <a href=""%s"">register</a>.","Desculpa, assinatura para os hóspedes não é permitida. Por favor <a href=""%s""> Registre-se</a>."
"Sorry, you are trying to subscribe email assigned to another user.","Desculpe, que você está tentando assinar e-mail atribuído a outro usuário."
"Please check shipping address information. %s","Por favor, verifique as informações de endereço de envio. %s"
"Please specify a shipping method.","Por favor, especifique um método de envio."
"Please check billing address information. %s","Por favor, verifique as informações de endereço de cobrança. %s"
"Please select a valid payment method.","Por favor, selecione um método de pagamento válido."
"This email adress is already registered. Please enter another email to register account or login using this email.","Este endereço de e-mail já está registrado. Digite outro e-mail para registrar conta ou login usando este e-mail."
"Invalid data.","Dados inválidos."
"Invalid shipping method.","Método de envio inválido."
"Customer Address is not valid.","Endereço do cliente não é válido."
"Invalid email address ""%s""","Endereço de e-mail inválido ""%s"""
"Invalid checkout type.","Tipo de saída inválido."
"Sorry, guest checkout is not allowed, please contact support.","Desculpe, convidado check-out não é permitido, por favor contacte o suporte."
"Please check shipping address.","Por favor, verifique o endereço de envio."
"Please check billing address.","Por favor, verifique o endereço de cobrança."
"Please enter the first name.","Por favor, insira o primeiro nome."
"Please enter the last name.","Por favor, digite o último nome."
"Please enter the company.","Introduza a empresa."
"Please enter the state/province.","Por favor digite a estado/província."
"Please enter the street.","Por favor, entre na rua."
"Please enter the city.","Por favor insira a cidade."
"Please enter the zip code.","Por favor digite o código de fecho de correr."
"Please enter the phone number.","Por favor, insira o número de telefone."
"Please enter the fax.","Por favor digite o fax."
"Please choose the country.","Por favor, escolha o país."
"Account confirmation is required. Please, check your email for confirmation link. <a href=""%s"">Click here</a> to resend confirmation email.","Confirmação de conta é necessária. Por favor, verifique o seu e-mail para o link de confirmação. <a href=""%s""> clique aqui</a> para reenviar o e-mail de confirmação."
"Forgot Password?","Esqueceu a senha?"
"Please enter your email below and we will send you a new password.","Por favor, digite seu e-mail abaixo e nós lhe enviaremos uma nova senha."
Email,Email
"Back to Login","Voltar para Login"
Submit,Enviar
"Login to your Account","Faça login na sua conta"
"Email Address","Endereço de e-mail"
Password,Senha
"Forgot Your Password?","Esqueceu sua senha?"
Login,Login
"Fill in the fields below to complete your purchase!","Preencha os campos abaixo para concluir a compra!"
Comment,Comentário
"Sign up for our newsletter","Cadastre-se no nosso boletim informativo"
"Sorry, no quotes are available for this order at this time.","Desculpa, sem aspas estão disponíveis para esta ordem neste momento."
"Product Name","Nome do produto"
Qty,Qty
Subtotal,Subtotal
Total,Total
"Total incl. tax","Imposto total incl."
"Your credit card will be charged for","Seu cartão de crédito será cobrado para"
"Please enter your full address to obtain a shipping quote.","Por favor, digite seu endereço completo para obter uma cotação de frete."
"Incl. Tax","Imposto incl."
"Name & Address","Nome do endereço &"
"Select a billing address from your address book or enter a new address.","Selecione um endereço de cobrança do seu livro de endereços ou insira um novo endereço."
Company,Empresa
Address,Endereço
"Street Address","Endereço rua"
"Street Address %s","Endereço rua %s"
City,Cidade
"State / Province","Estado / província"
"Select One","Selecione um"
"Zip Code","Código Postal"
Telephone,Telefone
Fax,Fax
"Create an account for later use","Criar uma conta para uso posterior"
"Confirm Password","Confirmar senha"
"Save in address book","Salvar no catálogo de endereços"
"Discount Codes","Códigos de desconto"
"Enter your coupon code if you have one.","Digite seu código de cupom, se tiver um."
"Cancel Coupon","Cancelar cupom"
"Apply Coupon","Aplicar cupom"
"Proceed to Checkout","Avançar para Checkout"
"Payment Method","Método de pagamento"
Close,Fechar
"Card Verification Number Visual Reference","Verificação de cartão número referência Visual"
"Review Your Order","Rever o seu pedido"
"Place Order Now","Encomendar agora"
"Submitting order information...","Apresentar informações de ordem..."
"Shipping Method","Método de envio"
"Ship to this address","Enviar para este endereço"
"New Shipping Address","Novo endereço de entrega"
"Select a shipping address from your address book or enter a new address.","Selecione um endereço de entrega do seu livro de endereços ou insira um novo endereço."
"Date of Birth","Data de nascimento"
Day,Dia
Month,Mês
Year,Ano
DD,DD
MM,MM
YYYY,AAAA
Gender,Gênero
Prefix,Prefixo
"First Name","Primeiro nome"
M.I.,MI
"Last Name","Último nome"
Suffix,Sufixo
"Tax/VAT number","Impostos/IVA número"
"THE SHOPPING CART IS CURRENTLY EMPTY","O CARRINHO DE COMPRAS ESTÁ VAZIO NO MOMENTO"
"Thank you for visiting","Obrigado pela visita"
"If you are having issues with the shopping cart, <br />please","Se você está tendo problemas com o carrinho de compras, < br / > por favor"
"email support","suporte de e-mail"
"or call","ou ligue para"
"CONTINUE SHOPPING","CONTINUAR COMPRANDO"
