Actions,Ações
"An error occurred while marking notification as read.","Ocorreu um erro ao marcar a notificação como lida."
"An error occurred while marking the messages as read.","Ocorreu um erro ao marcar as mensagens como lidas."
"An error occurred while removing messages.","Ocorreu um erro ao remover mensagens."
"An error occurred while removing the message.","Ocorreu um erro ao remover a mensagem."
"Are you sure?","Tem certeza?"
"Date Added","Data adicionada"
"Last Update","Última atualização"
"Mark as Read","Marcar como lido"
"Mark as read","Marcar como lido"
Message,Mensagem
"Messages Inbox","Caixa de entrada de mensagens"
Notifications,Notificações
"Please select messages.","Por favor, selecione as mensagens."
"Read Details","Ler detalhes"
Remove,Remover
Severity,Severidade
"Show List","Visualizar lista"
"Show Toolbar","Mostrar barra de ferramentas"
"The message has been marked as read.","A mensagem é marcada como lida."
"The message has been removed.","A mensagem foi removida."
"Total of %d record(s) have been marked as read.","Total de %d registro (s) ter sido marcada como lida."
"Total of %d record(s) have been removed.","Total de %d registro (s) foram removidos."
"Unable to proceed. Please, try again.","Incapaz de prosseguir. Por favor, tente novamente."
"Update Frequency","Frequência de atualização"
"Use HTTPS to Get Feed","Usar HTTPS para se alimentar."
"Wrong message type","Tipo de mensagem errada"
critical,crítica
major,principais
minor,menor
notice,aviso
