Action,Ação
"An error occurred while creating the backup.","Ocorreu um erro ao criar o backup."
"An error occurred while writing to the backup file ""%s"".","Ocorreu um erro ao gravar o arquivo de backup ""%s""."
"Are you sure you want to delete the selected backup(s)?","Tem certeza que deseja excluir os backups selecionados?"
"Backup Type","Tipo de backup"
"Backup file ""%s"" cannot be read from or written to.","Arquivo de backup ""%s"" não pode ser lido ou gravado para."
"Backup file ""%s"" does not exist.","Arquivo de backup ""%s"" não existe."
"Backup file does not exist.","Arquivo de backup não existe."
"Backup file handler was unspecified.","Manipulador de arquivo de backup foi especificado."
"Backup file not found","Arquivo de backup não encontrado"
"Backup file path was not specified.","Caminho do arquivo de backup não foi especificado."
Backups,Backups
"Cannot read backup file.","Não consigo ler o arquivo de backup."
"Create Backup","Criar Backup"
Database,"Banco de dados"
"Database Backup","Backup de banco de dados"
"Database and Media","Banco de dados e mídia"
"Database and Media Backup","Banco de dados e Backup de mídia"
"Database was successfuly backed up.","Banco de dados com êxito foi feito backup."
Download,Baixar
"Enable Scheduled Backup","Ativar Backup agendado"
"Failed to connect to FTP","Falha ao conectar ao FTP"
"Failed to delete one or several backups.","Falha ao excluir um ou vários backups."
"Failed to rollback","Falha ao reverter"
"Failed to validate FTP","Falha ao validar FTP"
Frequency,Freqüência
"Invalid Password.","Senha inválida."
"Maintenance Mode","Modo de manutenção"
Name,Nome
"Not enough free space to create backup.","Não há suficiente espaço livre para criar backup."
"Not enough permissions to create backup.","Não é suficiente permissões para criar backup."
"Not enough permissions to perform rollback","Não é suficiente permissões para executar reversão"
"Please either unselect the ""Put store on the maintenance mode"" checkbox or update your permissions to proceed with the backup.""","Por favor, desmarque a caixa de seleção ""Loja de colocar em modo de manutenção"" ou atualizar suas permissões para proceder com o backup."""
"Please either unselect the ""Put store on the maintenance mode"" checkbox or update your permissions to proceed with the rollback.""","Por favor, desmarque a caixa de seleção ""Loja de colocar em modo de manutenção"" ou atualizar suas permissões para proceder com a reversão."""
"Put store on the maintenance mode while backup's creation","Colocar a loja sobre o modo de manutenção durante a criação do backup"
Rollback,Reversão
"Scheduled Backup Settings","Configurações de Backup agendadas"
"Size, Bytes","Tamanho, em Bytes"
"Start Time","Hora de início"
System,Sistema
"System (excluding Media)","Sistema (excluindo Media)"
"System Backup","Backup do sistema"
"System couldn't put store on the maintenance mode","Sistema não poderia colocar a loja sobre o modo de manutenção"
"The database and media backup has been created.","O banco de dados e mídia backup foi criado."
"The database backup has been created.","O backup do banco de dados foi criado."
"The file was compressed with Zlib, but this extension is not installed on server.","O arquivo foi compactado com Zlib, mas esta extensão não está instalada no servidor."
"The selected backup(s) has been deleted.","Os backups selecionados foi excluído."
"The system (excluding Media) backup has been created.","O backup do sistema (excluindo Media) foi criado."
"The system backup has been created.","O backup do sistema foi criado."
Time,Tempo
Type,Tipo
"Unable to create backup. Please, try again later.","Não é possível criar backup. Por favor, tente novamente mais tarde."
"Unable to save the cron expression.","Não é possível salvar a expressão cron."
"Wrong order of creation for new backup.","Ordem errada de criação para o novo backup."
"You do not have sufficient permissions to enable Maintenance Mode during this operation.","Você não tem permissões suficientes para ativar o modo de manutenção durante esta operação."
