"# of Use","# de uso"
"%1$s incl tax.","imposto de incl %1$ s."
"%s - %s","%s - %s"
"%s Item(s)","%s Item (ns)"
"%s and above","%s e acima"
(%d),(%d)
"(Copy data from: %s)","(Copiar dados de: %s)"
"* Required Fields","* Os campos obrigatórios"
"-- Please Select --","Por favor selecione..."
"86400 by default, if not set. To refresh instantly, Clear the Blocks HTML Output Cache.","86400 por padrão, se não for definido. Para atualizar instantaneamente, limpe o Cache de saída de HTML de blocos."
"<strong style=""color:red"">Warning!</strong> Applying MAP by default will hide all product prices on the frontend.","<strong style=""color:red""> aviso!</strong> Aplicar mapa por padrão irá esconder todos os preços do produto no frontend."
"A group with the same name already exists.","Um grupo com o mesmo nome já existe."
"A name is required","Um nome é necessário"
"A product type is not defined for the indexer.","Um tipo de produto não está definido para o indexador."
"ALL GROUPS","TODOS OS GRUPOS"
AM,AM
Action,Ação
"Actual Price","Preço real"
Add,Adicionar
"Add Attribute","Adicionar o atributo"
"Add Design Change","Adicionar mudança de Design"
"Add Group","Adicionar grupo"
"Add Group Price","Adicionar grupo preço"
"Add New","Adicionar novo"
"Add New Attribute","Adicionar novo atributo"
"Add New Attribute Set","Adicionar novo atributo conjunto"
"Add New Group","Adicionar novo grupo"
"Add New Images","Adicionar novas imagens"
"Add New Option","Adicionar nova opção"
"Add New Row","Adicionar nova linha"
"Add New Search Term","Adicionar novo termo de pesquisa"
"Add New Set","Adicionar novo conjunto"
"Add Product","Adicionar produto"
"Add Product To Websites","Adicionar produto para Websites"
"Add Root Category","Adicionar categoria raiz"
"Add Subcategory","Adicionar subcategoria"
"Add Tax","Adicionar imposto"
"Add Tier","Adicionar camada"
"Add attribute into attribute set","Adicionar um atributo ao conjunto de atributos"
"Add group into attribute set","Adicione o grupo no conjunto de atributos"
"Add new custom option into product","Adicionar nova opção personalizada para o produto"
"Add new values into custom option","Adicionar novos valores para a opção personalizada"
"Add option","Adicionar opção"
"Add to Cart","Adicionar ao carrinho"
"Add to Compare","Adicionar para comparar"
"Add to Wishlist","Adicionar à lista de desejos"
"Additional Information","Informações adicionais"
"Alert Urls","Urls de alertas"
All,"Todos os"
"All Product Types","Todos os tipos de produto"
"All Websites","Todos os sites"
"All products","Todos os produtos"
"All products - recently added products, New products - products marked as new","Todos os produtos - recentemente adicionados produtos, novos produtos - produtos marcados como novo"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","Todos os produtos deste conjunto serão excluídos! Tem certeza que deseja excluir este conjunto de atributo?"
"Allow All Products per Page","Permitir que todos os produtos por página"
"Allow Dynamic Media URLs in Products and Categories","Permitir URLs de mídia dinâmica nas categorias e produtos"
"Allow HTML Tags on Frontend","Permitir HTML Tags no Frontend"
"Allowed File Extensions","Permitido as extensões de arquivo"
"Allowed file extensions to upload","Permitido carregar as extensões de arquivo"
"An error occurred while adding products to websites.","Ocorreu um erro ao adicionar produtos a websites."
"An error occurred while clearing comparison list.","Ocorreu um erro ao limpar lista de comparação."
"An error occurred while deleting this review.","Ocorreu um erro ao excluir esta revisão."
"An error occurred while removing products from websites.","Ocorreu um erro ao remover produtos de sites."
"An error occurred while saving the URL rewrite","Ocorreu um erro ao salvar a reescrita de URL"
"An error occurred while saving the attribute set.","Ocorreu um erro ao salvar o conjunto de atributos."
"An error occurred while saving the collection, aborting. Error message: %s","Ocorreu um erro ao salvar a coleção, abortando. Mensagem de erro: %s"
"An error occurred while saving the product. ","Ocorreu um erro ao guardar o produto. "
"An error occurred while saving the search query.","Ocorreu um erro ao salvar a consulta de pesquisa."
"An error occurred while saving this group.","Ocorreu um erro ao salvar este grupo."
"An error occurred while saving this review.","Ocorreu um erro ao salvar esta revisão."
"An error occurred while trying to delete the category.","Ocorreu um erro ao tentar excluir a categoria."
"An error occurred while updating the product(s) attributes.","Ocorreu um erro ao atualizar os atributos de produto (s)."
"An error occurred while updating the product(s) status.","Ocorreu um erro ao atualizar o status de produto (s)."
"An invalid group ID is specified, skipping the record.","Uma ID de grupo inválido for especificada, ignorando o registro."
"An invalid option ID is specified for %s (%s), skipping the record.","Uma opção inválida ID é especificado para %s (%s), ignorando o registro."
"An invalid store was specified.","Uma loja inválida foi especificada."
