"%s was added to your shopping cart.","%s foi adicionado ao seu carrinho de compras."
"%s was updated in your shopping cart.","%s foi atualizado no seu carrinho de compras."
"* Required Fields","* Os campos obrigatórios"
"Add New Address","Adicionar novo endereço"
"Add New Condition","Adicionar a nova condição"
"Add coupon code for shopping cart","Adicionar o código do cupom por carrinho de compras"
"Add gift messages to shopping cart","Adicionar mensagens presente ao carrinho de compras"
"Add product to shopping cart","Adicionar produto ao carrinho de compras"
"Add product(s) to shopping cart","Adicionar produto (s) ao carrinho de compras"
"Add to Cart","Adicionar ao carrinho"
"Add to Compare","Adicionar para comparar"
"Add to Wishlist","Adicionar à lista de desejos"
"Additional Product Info","Informação adicional do produto"
Address,Endereço
"Address %s of %s","Endereço %s do %s"
"After Adding a Product Redirect to Shopping Cart","Depois de adicionar um redirecionamento do produto ao carrinho de compras"
"Allow Guest Checkout","Permitir comentários Checkout"
"Already registered?","Já registrado?"
"An error occurred in the process of payment","Ocorreu um erro no processo de pagamento"
"An error occurred while deleting this condition.","Ocorreu um erro ao excluir esta condição."
"An error occurred while saving this condition.","Ocorreu um erro ao salvar esta condição."
"Apply Coupon","Aplicar cupom"
"Are you sure you would like to remove this item from the shopping cart?","Tens a certeza de que você gostaria de remover este item do carrinho de compras?"
Back,Voltar
"Back to Billing Information","Para informações de faturamento"
"Back to Select Addresses","Volta para selecionar endereços"
"Back to Shipping Information","Para informações de envio"
"Back to Shopping Cart","Volta ao carrinho de compras"
"Based on your selection, you may be interested in the following items:","Com base na sua seleção, você pode estar interessado nos seguintes itens:"
"Billing Address","Endereço de facturação"
"Billing Information","Informações de faturamento"
"Billing Information - %s","Informações de faturamento - %s"
"Cancel Coupon","Cancelar cupom"
"Cannot add item to the shopping cart.","Não é possível adicionar item ao carrinho de compras."
"Cannot add the item to shopping cart","Não é possível adicionar o item ao carrinho de compras"
"Cannot add the item to shopping cart.","Não é possível adicionar o item ao carrinho de compras."
"Cannot apply the coupon code.","Não é possível aplicar o código do cupom."
"Cannot configure product.","Não é possível configurar o produto."
"Cannot open the overview page","Não consigo abrir a página de visão geral"
"Cannot process the item.","Não é possível processar o item."
"Cannot remove the item.","Não é possível remover o item."
"Cannot update shopping cart.","Não é possível atualizar carrinho de compras."
"Cannot update the item.","Não é possível atualizar o item."
"Card Verification Number Visual Reference","Verificação de cartão número referência Visual"
"Cart Product API","Carrinho produto API"
"Cart Subtotal:","Subtotal do carrinho:"
Change,Mudança
"Change Billing Address","Alterar endereço de cobrança"
"Checkbox Text","Caixa de seleção de texto"
Checkout,Check-out
"Checkout Conditions","Condições de check-out"
"Checkout Method","Método checkout"
"Checkout Options","Opções de check-out"
"Checkout Progress Wrapper","Check-out progresso Wrapper"
"Checkout Section","Seção de check-out"
"Checkout Terms and Conditions","Termos e condições de check-out"
"Checkout as Guest","Check-out como convidado"
"Checkout as a Guest or Register","Check-out como um convidado ou registrar"
"Checkout with Multiple Addresses","Check-out com múltiplos endereços"
City,Cidade
"Clear Shopping Cart","Limpar o carrinho de compras"
"Click <a href=""%s"" onclick=""this.target=\'_blank\'"">here to print</a> a copy of your order confirmation.","Clique <a href=""%s"" onclick=""this.target=\'_blank\'""> aqui para imprimir</a> uma cópia da sua confirmação de pedido."
"Click <a href=""%s"">here</a> to continue shopping.","Clique <a href=""%s""> aqui</a> para continuar comprando."
Close,Fechar
Company,Empresa
"Condition Name","Nome da condição"
"Configurable Product Image","Imagem de produto configurável"
"Configure Cart Item","Configurar o Item do carrinho"
"Confirm Password","Confirmar senha"
Content,Conteúdo
"Content Height","Altura de conteúdo"
"Content Height (css)","Altura de conteúdo (css)"
Continue,Continuar
"Continue Shopping","Continuar comprando"
"Continue to Billing Information","Continuar a informações de faturamento"
"Continue to Review Your Order","Continuar a rever o seu pedido"
"Continue to Shipping Information","Continuar a informações de envio"
Country,País
"Coupon code ""%s"" is not valid.","Código de cupom ""%s"" não é válido."
"Coupon code ""%s"" was applied.","Código de cupom ""%s"" foi aplicado."
"Coupon code was canceled.","Código de cupom foi cancelado."
"Create Billing Address","Criar o endereço de facturação"
"Create Shipping Address","Criar o endereço de entrega"
"Create an order from shopping cart","Criar uma ordem de carrinho de compras"
"Create shopping cart","Criar carrinho de compras"
"Customer Address is not valid.","Endereço do cliente não é válido."
"Customer Information","Informações do cliente"
"Customer's information","Informações do cliente"
"Data saving problem","Economia o problema dos dados"
"Default Billing","Padrão de faturamento"
"Default Shipping","Padrão de envio"
"Delete Condition","Excluir condição"
Details,Detalhes
Disabled,"Com deficiência"
"Discount Codes","Códigos de desconto"
"Display Cart Summary","Resumo do carrinho de exposição"
"Display Shopping Cart Sidebar","Exibir a barra lateral do carrinho de compras"
"Display item quantities","Quantidades de item de exibição"
"Display number of items in cart","Exibir o número de itens no carrinho"
"Display number of items in wishlist","Exibir o número de itens na lista de desejos"
"Easy access to your order history and status","Fácil acesso ao seu histórico de pedidos e status"
Edit,Editar
"Edit Address","Editar endereço"
"Edit Billing Address","Editar o endereço de facturação"
"Edit Condition","Editar condição"
"Edit Items","Editar itens"
"Edit Shipping Address","Editar o endereço de entrega"
"Edit Terms and Conditions","Edite os termos e condições"
"Edit Your Cart","Editar o seu carrinho"
"Edit item","Editar item"
"Edit item parameters","Editar os parâmetros do item"
"Email Address","Endereço de e-mail"
"Enable Onepage Checkout","Habilitar verificação de Geoparques"
"Enable Terms and Conditions","Habilitar os termos e condições"
Enabled,Habilitado
"Enter a New Address","Insira um novo endereço"
"Enter your coupon code if you have one.","Digite seu código de cupom, se tiver um."
"Enter your destination to get a shipping estimate.","Digite seu destino para obter uma estimativa de frete."
"Estimate Shipping and Tax","Estimativa de frete e impostos"
"Excl. Tax","Fiscais excl."
"Fast and easy check out","Rápido e fácil Confira"
Fax,Fax
"Forgot an Item?","Esqueci um Item?"
"Forgot your password?","Esqueceu sua senha?"
"Get a Quote","Faça uma cotação"
"Get list of available payment methods","Obter lista de métodos de pagamento disponíveis"
"Get list of available shipping methods","Obter lista de métodos disponíveis de transporte"
