"A block identifier with the same properties already exists in the selected store.","Um identificador de bloco com as mesmas propriedades já existe no armazenamento selecionado."
"A directory with the same name already exists. Please try another folder name.","Um diretório com o mesmo nome já existe. Por favor, tente outro nome da pasta."
"A page URL key for specified store already exists.","Uma chave de URL de página para armazenamento especificado já existe."
Action,Ação
"Add New Block","Adicionar novo bloco"
"Add New Page","Adicionar nova página"
"All Countries","Todos os países"
"An error occurred while saving the page.","Ocorreu um erro ao salvar a página."
"Anchor Custom Text","Âncora de texto personalizado"
"Anchor Custom Title","Âncora título personalizado"
"Are you sure you want to delete current folder?","Tem certeza que deseja excluir a pasta atual?"
"Are you sure you want to delete the selected file?","Tem certeza que deseja excluir o arquivo selecionado?"
Block,Bloco
"Block Information","Bloco informações"
"Block Title","Título do bloco"
CMS,CMS
"CMS Content Wrapper","Invólucro de conteúdo CMS"
"CMS Home Page","CMS homepage"
"CMS No Cookies Page","CMS nenhuma página de Cookies"
"CMS No Route Page","Página de rota não CMS"
"CMS No-Route Page","Página não-rota CMS"
"CMS Page","Página CMS"
"CMS Page Link","Link da página CMS"
"CMS Page Link Block Template","Modelo de bloco de Link da página CMS"
"CMS Page Link Inline Template","Modelo Inline Link de página de CMS"
"CMS Pages (All)","Páginas CMS (todos)"
"CMS Static Block","Bloco estático do CMS"
"CMS Static Block Default Template","CMS bloco estático padrão modelo"
"Cannot create new directory.","Não é possível criar o novo diretório."
"Cannot delete directory %s.","Não é possível excluir o diretório %s."
"Cannot delete root directory %s.","Não é possível excluir o diretório raiz %s."
"Cannot upload file.","Não pode fazer upload de arquivo."
"Collapse All","Recolher tudo"
Content,Conteúdo
"Content Heading","Título conteúdo"
"Content Management","Gerenciamento de conteúdo"
"Contents of a Static Block","Conteúdo de um bloco estático"
"Create Folder...","Crie pasta..."
"Custom Design","Design personalizado"
"Custom Design From","Design personalizado de"
"Custom Design To","Design personalizado para"
"Custom Layout","Layout personalizado"
"Custom Layout Update XML","Atualização do Layout personalizado XML"
"Custom Theme","Tema personalizado"
"Customer Tax Class Information","Informações de classe de fiscal do cliente"
"Date Created","Data de criação"
"Delete Block","Excluir bloco"
"Delete File","Excluir arquivo"
"Delete Folder","Excluir pasta"
"Delete Page","Excluir página"
Description,Descrição
Design,Design
Disabled,"Com deficiência"
"Disabled Completely","Desativado completamente"
"Disabled by Default","Desativado por padrão"
"Edit Block","Editar bloco"
"Edit Block '%s'","Editar bloco ' %s'"
"Edit Page","Editar página"
"Edit Page '%s'","Editar página ' %s'"
"Enable WYSIWYG Editor","Habilitar Editor WYSIWYG"
Enabled,Habilitado
"Enabled by Default","Habilitado por padrão"
"Expand All","Expandir tudo"
"General Information","Informações gerais"
"Go to Home Page","Ir para página inicial"
Home,Casa
ID,ID
Identifier,Identificador
"If empty, the Page Title will be used","Se estiver vazio, será usado o título da página"
"Images (%s)","Imagens (%s)"
"Insert File","Inserir arquivo"
"Invalid folder name. Please, use alphanumeric characters, underscores and dashes.","Nome da pasta inválida. Por favor, use traços, sublinhados e caracteres alfanuméricos."
Keywords,Palavras-chave
"Last Modified","Última modificação"
Layout,Layout
"Layout Update XML","Atualização de layout XML"
"Link to a CMS Page","Link para uma página do CMS"
"Manage Pages","Gerenciar páginas"
"Media Gallery","Galeria de mídia"
"Media Storage","Armazenamento de mídia"
"Meta Data","Meta dados"
"Meta Description","Descrição meta"
"Meta Keywords","Palavras-chave meta"
"New Block","Novo bloco"
"New Folder Name:","Nome da nova pasta:"
"New Page","Nova página"
"No files found","Nenhum arquivo encontrado"
"Page Information","Página de informações"
"Page Layout","Layout de página"
"Page Status","Status da página"
"Page Title","Título da página"
Pages,Páginas
"Product Tax Class Information","Informações de classe de fiscal de produto"
"Redirect to CMS-page if Cookies are Disabled","Redirecionar para CMS-página se os Cookies estiverem desabilitados."
"Relative to Website Base URL","Em relação a URL Base do site"
"Save Block","Salve o bloco"
"Save Page","Salvar página"
"Save Process","Salvar o processo de"
"Select Block...","Selecione o bloco..."
"Select Page...","Selecione a página..."
"Show Breadcrumbs for CMS Pages","Mostrar Breadcrumbs para páginas CMS"
"Show Notice if JavaScript is Disabled","Mostrar aviso se o JavaScript está desativado"
"Static Blocks","Blocos estáticos"
Status,Status
"Storage Root","Raiz de armazenamento"
"Store View","Vista da loja"
Template,Modelo
"The block has been deleted.","O bloco foi excluído."
"The block has been saved.","O bloco foi salvo."
"The directory %s is not writable by server.","O diretório %s não é gravável pelo servidor."
"The page URL key cannot consist only of numbers.","A chave de URL de página não pode consistir apenas de números."
"The page URL key contains capital letters or disallowed symbols.","A chave de URL de página contém letras maiúsculas ou não permitidos símbolos."
"The page has been deleted.","A página foi apagada."
"The page has been saved.","A página foi salva."
"The static block content cannot contain  directive with its self.","O conteúdo do bloco estático não pode conter a directiva com seu auto."
"This block no longer exists.","Este bloco não existe mais."
"This page no longer exists.","Esta página não existe mais."
Title,Título
"URL Key","Chave de URL"
"Unable to find a block to delete.","Incapaz de encontrar um bloco para excluir."
"Unable to find a page to delete.","Incapaz de encontrar uma página para excluir."
"WYSIWYG Options","Opções do WYSIWYG"
px.,PX.
