"* Required Fields","* Os campos obrigatórios"
Comment,Comentário
"Contact Form","Formulário de contato"
"Contact Information","Informações de contato"
"Contact Us",Contate-nos
"Contact Us Form","Formulário de contato"
Contacts,Contatos
"Contacts Section","Seção de contatos"
Email,Email
"Email Options","Opções de e-mail"
"Email Sender","E-mail remetente"
"Email Template","Modelo de email"
"Enable Contact Us","Habilitar entre em contato conosco"
Name,Nome
"Send Emails To","Enviar E-mails para"
Submit,Enviar
Telephone,Telefone
"Unable to submit your request. Please, try again later","Não é possível enviar sua solicitação. Por favor, tente novamente mais tarde"
"Your inquiry was submitted and will be responded to as soon as possible. Thank you for contacting us.","Sua pergunta foi enviada e será resposta tão logo quanto possível. Obrigado por nos contatar."
