%s,%s
"%s already exist.","%s Já existem."
"%s already exists.","%s Já existe."
"-- Please Select --","Por favor selecione..."
"<strong style=""color:red"">Warning!</strong> When using CDN, in some cases JavaScript may not run properly if CDN is not in your subdomain","<strong style=""color:red""> aviso!</strong> Quando utilizar CDN, em alguns casos JavaScript pode não ser executado corretamente se o CDN não está no seu subdomínio"
"<strong style=""color:red"">Warning!</strong> When using Store Code in URLs, in some cases system may not work properly if URLs without Store Codes are specified in the third party services (e.g. PayPal etc.).","<strong style=""color:red""> aviso!</strong> Ao usar o código de loja em URLs, em alguns casos sistema pode não funcionar corretamente se URLs sem loja códigos são especificados nos serviços de terceiros (por exemplo, PayPal, etc.)."
"A category object is required for determining the product request path.","Um objeto de categoria é necessário para determinar o caminho de solicitação do produto."
"Add Block Names to Hints","Adicionar nomes de bloco para dicas"
"Add Secret Key to URLs","Adicionar a chave secreta para URLs"
"Add Store Code to Urls","Adicionar código de loja para Urls"
Admin,Admin
"Admin Base URL","Admin Base URL"
"Admin User Emails","E-mails do usuário admin"
Advanced,Avançado
"After selecting a new media storage location, press the Synchronize button
                                to transfer all media to that location. Media will not be available in the new
                                location until the synchronization process is complete.","Depois de selecionar um novo local de armazenamento de mídia, pressione o botão de sincronização para transferir todos os meios para esse local. Mídia não estará disponível no novo local até que o processo de sincronização está completo."
"Allow Countries","Permitir que os países"
"Allow Symlinks","Permitir links simbólicos"
"Allowed IPs (comma separated)","IPs permitidos (separados por vírgula)"
"Allowed file types: ICO, PNG, GIF, JPG, JPEG, APNG, SVG. Not all browsers support all these formats!","Permitidos tipos de arquivos: ICO, PNG, GIF, JPG, JPEG, APNG, SVG. Nem todos os navegadores oferecem suporte a todos esses formatos!"
"Allows customers to stay logged in when switching between different stores.","Permite que os clientes de permanecer conectado ao alternar entre diferentes lojas."
"Alternative text for next link in pagination menu. If empty, default arrow image will used.","Texto alternativo para o próximo link no menu de paginação. Se estiver vazio, a imagem de seta padrão será usado."
"Alternative text for previous link in pagination menu. If empty, default arrow image will used.","Texto alternativo para o link anterior no menu de paginação. Se estiver vazio, a imagem de seta padrão será usado."
"An error occurred while saving. Please review the error log.","Ocorreu um erro ao salvar. Por favor, revise o log de erro."
"Anchor Text for Next","Texto de âncora para a próxima"
"Anchor Text for Previous","Texto de âncora anterior"
"Anchor symbol (#) is not supported in request path","Símbolo âncora (#) não é suportado no caminho da solicitação"
"Anchor symbol (#) is not supported in url rewrite suffix","Símbolo âncora (#) não é suportado no sufixo de reescrita de url"
"Are you sure?","Tem certeza?"
"Auto-redirect to Base URL","Redirecionar a URL Base"
Back,Voltar
"Backup Options","Opções de backup"
"Base JavaScript URL","URL base JavaScript"
"Base Link URL","Base Link URL"
"Base Media URL","Media base URL"
"Base Secure URL","Seguro base URL"
"Base Skin URL","Pele base URL"
"Base URL","URL base"
"Base Unsecure URL","Base URL insegura"
"Before modifying the store view code please make sure that it is not used in index.php.","Antes de modificar o código de modo de exibição de loja, por favor certifique-se de que não é usado no index. php."
"Before modifying the website code please make sure that it is not used in index.php.","Antes de modificar o código do site, por favor certifique-se de que não é usado no index. php."
"Block with name ""%s"" already exists","Bloco com o nome ""%s"" já existe"
"Browser Capabilities Detection","Detecção de recursos do navegador"
"CSS Settings","Configurações de CSS"
"Cache Storage Management","Gerenciamento de armazenamento de cache"
"Cache storage may contain additional data. Are you sure that you want flush it?","Armazenamento em cache pode conter dados adicionais. Tem certeza que quer flush?"
"Can not create invoice. Order was not found.","Não é possível criar fatura. Ordem não foi encontrado."
"Can't retrieve request object","Não é possível recuperar o objeto de solicitação"
"Can\'t retrieve entity config: %s","Can\ ' t recuperar entidade config: %s"
Cancel,Cancelar
"Cannot complete this operation from non-admin area.","Não pode concluir esta operação da área de não-administrador."
"Card type does not match credit card number.","Tipo de cartão não coincide com o número de cartão de crédito."
Code,Código
"Controller file was loaded but class does not exist","Controlador arquivo foi carregado, mas não existe classe"
"Cookie Domain","Domínio do cookie"
"Cookie Lifetime","Tempo de vida do cookie"
"Cookie Path","Caminho do cookie"
"Cookie Restriction Mode","Modo de restrição de cookie"
Copyright,Copyright
Core,Núcleo
"Countries Options","Opções de países"
Country,País
"Create Store","Criar loja"
"Create Store View","Criar visão de loja"
"Create Website","Criar site"
"Credit card number does not match credit card type.","Número de cartão de crédito não coincide com o tipo de cartão de crédito."
"Current Package Name","Nome do pacote atual"
"Custom Admin Path","Caminho Admin personalizado"
"Custom Admin URL","Admin personalizado URL"
"Custom Design","Design personalizado"
"Custom Email 1","E-mail personalizado 1"
"Custom Email 2","E-mail personalizado 2"
"Custom Variables","Variáveis personalizadas"
"Custom1 Contact Email","E-mail de contato CUSTOM1"
"Custom1 Contact Name","Nome de contato CUSTOM1"
"Custom2 Contact Email","E-mail de contato Custom2"
"Custom2 Contact Name","Nome de contato Custom2"
"Customer Support","Suporte ao cliente"
Dashboard,"Painel de controle"
"Date From","Data a partir da"
"Date To","Data para"
"Date/time format ""%s"" is not supported.","Formato de data/hora ""%s"" não é suportado."
Debug,Depurar
Default,Padrão
"Default Country","País padrão"
"Default Description","Descrição do padrão"
"Default Keywords","Palavras-chave padrão"
"Default No-route URL","Padrão não-rota de URL"
"Default Pages","Páginas padrão"
"Default Robots","Robôs de padrão"
"Default Store","Loja padrão"
"Default Store View","Vista de loja padrão"
"Default Title","Título padrão"
"Default Web URL","URL da Web padrão"
Delete,Excluir
"Delete Store","Loja de Delete"
"Delete Store View","Delete loja vista"
"Delete Website","Excluir site"
"Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s.","Excluindo um %1$ s não excluirá as informações associadas a %1$ s (por exemplo, categorias, produtos, etc.), mas o %1$ s não poderá ser restaurado. É recomendável que você crie um backup de banco de dados antes de excluir o %1$ s."
Design,Design
"Design Change","Mudança de projeto"
Developer,Desenvolvedor
"Developer Client Restrictions","Desenvolvedor cliente restrições"
"Disable Email Communications","Desativar comunicações por correio electrónico"
"Disable Modules Output","Desativar saída de módulos"
"Display Demo Store Notice","Aviso de exposição Demo loja"
"Duplicate Of Template Name","Duplicado do nome do modelo"
"Edit Design Change","Editar a mudança de Design"
"Edit Store","Editar loja"
"Edit Store View","Loja de editar modo de exibição"
"Edit Website","Editar site"
"Empty identifier field name","Nome do campo identificador vazio"
"Empty main table name","Nome da tabela principal vazia"
"Enable Charts","Habilitar a gráficos"
Enabled,Habilitado
"Enabled for Admin","Habilitado para Admin"
"Enabled for Frontend","Habilitado para Frontend"
"Environment Update Time","Tempo de atualização do ambiente"
"Error in file: ""%s"" - %s","Erro no arquivo: ""%s""-%s"
"European Union Countries","Países da União Europeia"
"Exceptions Log File Name","Nome de arquivo de Log de exceções"
"Favicon Icon","Favicon ícone"
"File %s does not exist","Arquivo %s não existe"
"File %s is not readable","Arquivo %s não é legível"
"File not found","Arquivo não encontrado"
"File system","Sistema de arquivos"
"File with an extension ""%value%"" is protected and cannot be uploaded","Arquivo com uma extensão ""% valor %"" está protegido e não pode ser carregado"
"First Day of Week","Primeiro dia da semana"
"Flush Cache Storage","Armazenamento em Cache Flush"
"Flush Magento Cache","Liberar Cache do Magento"
Footer,Rodapé
"Forgot Password Email Sender","Esqueci a senha E-mail remetente"
"Forgot Password Email Template","Esqueci a senha E-mail Template"
General,Geral
"General Contact","Contato geral"
"General Contact Email","E-mail de contacto geral"
"General Contact Name","Nome de contato geral"
"General Settings","Configurações gerais"
"Get info about current Magento installation","Obter informações sobre a instalação atual do Magento"
Global,Global
"HTML Head","Cabeça HTML"
"HTML tags are not allowed","Tags HTML não são permitidas"
Header,Cabeçalho
Host,Host
"How many links to display at once.","Quantos links para mostrar de uma vez."
"ID Path for Specified Store","Caminho de ID para armazenamento especificado"
"If the current frame position does not cover utmost pages, will render link to current position plus/minus this value.","Se a posição do quadro atual não cobre páginas máxima, processará o link para a posição atual mais ou menos esse valor."
"Incorrect credit card expiration date.","Data de validade de cartão de crédito incorrecto."
"Input type ""%value%"" not found in the input types list.","Digite ""% valor %"" não encontrado na lista de tipos de entrada de entrada."
"Invalid URL '%value%'.","URL inválido '% valor %'."
"Invalid base url type","Tipo de url base inválido"
"Invalid block name to set child %s: %s","Nome do bloco inválido para definir criança %s: %s"
"Invalid block type: %s","Tipo de bloco inválido: %s"
"Invalid block: %s","Bloco inválido: %s"
"Invalid connection","Conexão inválida"
"Invalid layout update handle","Layout inválido identificador de atualização"
"Invalid messages storage ""%s"" for layout messages initialization","Armazenamento de mensagens inválido ""%s"" para a inicialização de mensagens de layout"
"Invalid query","Consulta inválida"
"Invalid transactional email code: %s","Código inválido e-mail transacional: %s"
"Invalid website\'s configuration path: %s","Caminho de configuração do website\ inválido: %s"
"JavaScript Settings","Configurações de JavaScript"
Layout,Layout
"Leave empty for access from any location.","Deixe em branco para o acesso de qualquer lugar."
"List of stores","Lista de lojas"
Locale,Localidade
"Locale Options","Opções de localidade"
"Log Settings","Configurações de log"
"Logging from Mage::log(). File is located in {{base_dir}}/var/log","Registro de Mage::log(). Arquivo está localizado em {{base_dir}} / var/log"
"Logging from Mage::logException(). File is located in {{base_dir}}/var/log","Registro de Mage::logException(). Arquivo está localizado em {{base_dir}} / var/log"
"Login is Case Sensitive","Login é Case Sensitive"
"Logo Image","Imagem do logotipo"
"Logo Image Alt","Logotipo imagem Alt"
"Logo Image Src","Logotipo imagem Src"
"Magento info","Informação de Magento"
"Magento info API","Magento informação API"
"Mail Sending Settings","Configurações de envio de correio"
"Make sure that base URL ends with '/' (slash), e.g. http://yourdomain/magento/","Certifique-se de que base URL termina com ' /' (slash), por exemplo, http://yourdomain/magento/"
"Manage Stores","Gerenciar armazenamentos"
"Match expressions in the same order as displayed in the configuration.","Corresponder expressões na mesma ordem, conforme exibido na configuração."
"Media Storage","Armazenamento de mídia"
"Merge CSS Files","Mesclar arquivos CSS"
"Merge JavaScript Files","Mesclar arquivos JavaScript"
"Miscellaneous HTML","Diversos HTML"
"Miscellaneous Scripts","Diversos Scripts"
"Model collection resource name is not defined.","Nome de recurso de coleção de modelo não está definido."
"Module ""%1$s"" cannot depend on ""%2$s"".","Módulo ""%1$ s"" não pode depender de ""%2$ s""."
"Module ""%1$s"" requires module ""%2$s"".","Módulo ""%1$ s"" requer módulo ""%2$ s""."
Name,Nome
"New Design Change","Nova mudança de Design"
"New Store","Nova loja"
"New Store View","Nova loja vista"
"New Website","Novo site"
No,Não
"Offloader header","Cabeçalho de offloader"
"PHP SOAP extension is required.","Extensão PHP SOAP é necessária."
Package,Pacote
Pagination,Paginação
"Pagination Frame","Quadro de paginação"
"Pagination Frame Skip","Paginação Frame Skip"
"Parent directory does not exist: %s","Diretório pai não existe: %s"
"Path ""%value%"" is not available and cannot be used.","Caminho ""% valor %"" não está disponível e não pode ser usado."
"Path ""%value%"" is protected and cannot be used.","Caminho ""% valor %"" está protegido e não pode ser usado."
"Path ""%value%"" may not include parent directory traversal (""../"", ""..\\).""","Caminho ""% valor %"" não pode incluir a passagem de diretório pai ("".../"", ""..\\)."""
"Please define flag code.","Por favor defina código de bandeira."
