"* Select shipping method","* Selecione o método de envio"
2Day,"Dia 2"
"2nd Day Air","2º ar de dia"
"2nd Day Air AM","2º dia ar AM"
"3 Day Select","Selecione dia 3"
"<br />Warning: <strong>%s</strong><br />","< br / > AVISO: <strong>%s</strong> < br / >"
"<strong style=""color:red"">Warning!</strong> This option disables the merchant calculated shipping. With this option, Google API ignores any attempt to affect shipping prices.","<strong style=""color:red""> aviso!</strong> Esta opção desativa o mercante calculado. Com esta opção, a API do Google ignora qualquer tentativa de afetar os preços de transporte."
"A virtual item to reflect the discount total","Um item virtual para refletir o total de desconto"
"A virtual item to reflect the tax total","Um item virtual para refletir o total de imposto"
"AVS Status: %s","AVS Status: %s"
"Add Shipping Method","Adicionar o método de envio"
"Allowed Methods","Métodos permitidos"
"Amount: %s","Quantidade: %s"
"Auto-generated from GoogleCheckout Charge","Gerado automaticamente após o carregamento de GoogleCheckout"
"Buyer Account Age: %s days","Idade de conta do comprador: %s dias"
"CC Partial: xxxx-%s","CC parcial: xxxx-%s"
"CID Status: %s","CID Status: %s"
"Carrier Calculated Methods","Transportadora calculado métodos"
"Cart Discount","Carrinho desconto"
"Checkout Image Style","Check-out estilo de imagem"
Commercial,Comercial
"Continue Shopping URL","Continuar comprando URL"
"Credit memo has been created automatically","Nota de crédito foi criada automaticamente"
Debug,Depurar
"Default Package Height (in)","Altura de pacote padrão (no)"
"Default Package Length (in)","Comprimento de pacote padrão (em)"
"Default Package Width (in)","Largura de pacote padrão (em)"
"Default Price for Methods","Preço padrão para os métodos"
"Default price:","Preço padrão:"
"Delivery Address Category","Categoria de endereço de entrega"
"Delivery Schedule","Cronograma de entrega"
"Description-based delivery","Entrega baseada em descrição"
"Disable Default Tax Tables","Desabilitar tabelas de imposto de padrão"
"Discount Tax","Desconto imposto"
"Eligible for Protection: %s","Beneficiar de protecção: %s"
"Email delivery","Entrega de e-mail"
Enable,Enable
"Enable Carrier Calculated","Habilitar transportadora calculada"
"Enable Digital Delivery","Permitir a entrega Digital"
"Enable Flat Rate","Habilitar a taxa fixa"
"Enable Merchant Calculated","Habilitar o comerciante calculado"
"Enable this if your checkout request is too big and being cut off.","Habilite isso se o seu pedido de check-out é muito grande e ser cortado."
"Expiration: %s","Expiração: %s"
"Express Mail","Correio expresso"
"Express Saver","Express Saver"
FedEx,FedEx
"Financial: %s -> %s","Financeiro: %s-> %s"
"First Overnight","Primeiro dia para a noite"
"Free Shipping","Frete grátis"
"Fulfillment: %s -> %s","Realização: %s-> %s"
"Google API","Google API"
"Google Authorization:","Autorização do Google:"
"Google Buyer ID: %s","Comprador de Google ID: %s"
"Google Charge:","Charge do Google:"
"Google Chargeback:","Chargeback de Google:"
"Google Checkout","Google Checkout"
"Google Checkout Shipping - Carrier Calculated","Google Checkout frete - transportadora calculado"
"Google Checkout Shipping - Digital Delivery","Google Checkout frete - entrega Digital"
"Google Checkout Shipping - Flat Rate","Google Checkout frete - taxa fixa"
"Google Checkout Shipping - Merchant Calculated","Google Checkout - comerciante calculado do transporte"
"Google Checkout: %s","Google Checkout: %s"
"Google Order Number: %s","Número de ordem do Google: %s"
"Google Order Status Change:","Alteração de Status de ordem de Google:"
"Google Refund:","Restituição do Google:"
"Google Risk Information:","Informações sobre riscos de Google:"
"GoogleCheckout is not configured","GoogleCheckout não está configurado"
Ground,Chão
"Hide Cart Contents","Esconder o conteúdo do carrinho"
"Home Delivery","Entrega em domicílio"
"IP Address: %s","Endereço IP: %s"
"If enabled, cart contents will be hidden after clicking on the Google Checkout button in the shopping cart, and restored if ""Edit Cart"" link was activated.","Se habilitado, conteúdo do carrinho será oculto depois de clicar no botão Google Checkout no carrinho de compras e restaurado se o link ""Editar carrinho"" foi ativado."
Inches,Polegadas
"Invoice Auto-Created: %s","Factura criadas automaticamente: %s"
"Is Buyer Willing to Receive Marketing Emails: %s","É o comprador disposto a receber E-mails Marketing: %s"
"Key/URL delivery","Entrega de chave/URL"
"Large - %s","Grande - %s"
"Latest Charge: %s","Última carga: %s"
"Latest Chargeback: %s","Última Chargeback: %s"
"Latest Refund: %s","Reembolso mais recente: %s"
Location,Localização
"Media Mail","Mídia Mail"
"Medium - %s","Médio - %s"
"Merchant ID","ID de comerciante"
"Merchant Key","Chave mercante"
Method,Método
"New Order Status","Novo Status do pedido"
"Next Day Air","Next Day Air"
"Next Day Air Early AM","Next Day Air cedo estou"
"Next Day Air Saver","Protetor de ar no próximo dia"
No,Não
"No Comment","Sem comentários"
"No Reason","Não há razão"
Optimistic,Otimista
"Optional, leave empty for home page.","Opcional, deixe vazio para home page."
"Order creation error","Erro de criação de ordem"
"Parcel Post","Encomendas postais"
Pessimistic,Pessimista
"Priority Mail","Correio prioritário"
"Priority Overnight","Prioridade durante a noite"
"Rate 1 Amount","1 Montante"
"Rate 1 Ship To Applicable Countries","Taxa 1 navio para países aplicáveis"
"Rate 1 Ship to Specific Countries","Taxa 1 navio para países específicos"
"Rate 1 Title","Taxa 1 título"
"Rate 2 Amount","Montante fixo 2"
"Rate 2 Ship To Applicable Countries","Taxa 2 navio para países aplicáveis"
"Rate 2 Ship to Specific Countries","Taxa 2 navio para países específicos"
"Rate 2 Title","Taxa 2 título"
"Rate 3 Amount","Montante fixo 3"
"Rate 3 Ship To Applicable Countries","Taxa 3 navio para países aplicáveis"
"Rate 3 Ship to Specific Countries","Taxa 3 navio para países específicos"
"Rate 3 Title","Título de taxa 3"
"Required for live Google Checkout transactions. Make sure that this option corresponds to Use Secure URLs in Frontend (""Web"" > ""Secure"").","Necessários para transações ao vivo do Google Checkout. Certifique-se que esta opção corresponde ao uso seguro de URLs no Frontend (""Web"" > ""Seguro"")."
Residential,Residencial
Sandbox,"Caixa de areia"
"Secure Callback URL","Secure URL Callback"
"Small - %s","Pequeno - %s"
"Standard Overnight","Padrão durante a noite"
"The tax amount has been applied based on the information received from Google Checkout, because tax amount received from Google Checkout is different from the calculated tax amount","O valor do imposto tem sido aplicado com base nas informações recebidas do Google Checkout, porque o valor do imposto recebido do Google Checkout é diferente do montante de imposto calculado"
Title,Título
"Total Chargeback: %s","Total de Chargeback: %s"
"Total Charged: %s","Total cobrado: %s"
"Total Refunded: %s","Total reembolsado: %s"
Transparent,Transparente
UPS,UPS
USPS,USPS
"United Kingdom","Reino Unido"
"United States","Estados Unidos"
"Unknown Reason","Razão desconhecida"
"White Background","Fundo branco"
Yes,Sim
"You will be redirected to GoogleCheckout in a few seconds.","Em poucos segundos você será redirecionado para o GoogleCheckout."
