"An error occurred while clearing the external full page cache.","Ocorreu um erro ao limpar o cache de página externa completa."
"Cookie Lifetime (seconds)","Cookie Lifetime (segundos)"
"Enable External Cache","Habilitar Cache externo"
"External Cache Control","Controle de Cache externo"
"External Full Page Cache Settings","Configurações de Cache de página externa completa"
"External full page cache.","Cache de página externa completa."
"Failed to load external cache control","Falha ao carregar o controle de cache externo"
"Flush External Page Cache","Liberar Cache de página externa"
"If empty, default value will be used.","Se estiver vazio, o valor padrão será usado."
"The external full page cache has been cleaned.","O cache de página inteira externo tem sido limpo."
"Zend Full Page Cache","Cache de página inteira do Zend"
