"%s %s cycle.","%s %s ciclo."
"--Please Select--","-- Por favor selecione..."
"3D Secure Card Validation","Validação de cartão seguro 3D"
"3D Secure Credit Card Validation","Validação de cartão de crédito seguro 3D"
"<label>Make Check payable to:</label> %s","<label>Fazer cheque pagável a:</label> %s"
"A value is required for live mode. Refer to your CardinalCommerce agreement.","Um valor é necessário para o modo de viver. Consulte o acordo de CardinalCommerce."
"Allow Initial Fee Failure","Permitir que a taxa inicial falha"
"An internal reference ID is required to save the payment profile.","Um ID de referência interna é necessária para salvar o perfil de pagamento."
"Authorize action is not available.","Autorizar a ação não está disponível."
"Auto Bill on Next Cycle","Bill auto no próximo ciclo"
"Automatically Invoice All Items","Fatura automaticamente todos os itens"
"Automatically bill the outstanding balance amount in the next billing cycle (if there were failed payments).","Automaticamente, bill o montante do saldo em dívida no próximo ciclo de faturamento (se houve falhados pagamentos)."
"Bank Transfer Payment","Pagamento por transferência bancária"
"Billing Agreement status is not set.","Status do acordo de faturamento não está definido."
"Billing Amount","Quantidade de faturamento"
"Billing Frequency","Freqüência de faturamento"
"Billing Period","Período de faturamento"
"Billing Period Unit","Unidade do período de faturamento"
"Billing period unit is not defined or wrong.","Faturamento período unidade não é definido ou errado."
"Cannot retrieve the payment info model object.","Não é possível recuperar o objeto de modelo de informação de pagamento."
"Cannot retrieve the payment information object instance.","Não é possível recuperar a instância de objeto de informações de pagamento."
"Cannot retrieve the payment method code.","Não é possível recuperar o código de método de pagamento."
"Cannot retrieve the payment method model object.","Não é possível recuperar o objeto de modelo de método de pagamento."
"Capture action is not available.","Ação de captura não está disponível."
"Card Verification Number","Número de verificação de cartão"
"Cash On Delivery Payment","Pagamento em dinheiro na entrega pagamento"
"Centinel API URL","URL Centinel API"
"Check / Money Order","Cheque / ordem de dinheiro"
"Credit Card Number","Número de cartão de crédito"
"Credit Card Type","Tipo de cartão de crédito"
"Credit Card Types","Tipos de cartão de crédito"
"Credit card number mismatch with credit card type.","Cartão de crédito número incompatibilidade com o tipo de cartão de crédito."
"Credit card type is not allowed for this payment method.","Tipo de cartão de crédito não é permitido para este método de pagamento."
Currency,Moeda
"Currency code is undefined.","Código de moeda é indefinido."
"Customer ID is not set.","Identificação do cliente não está definida."
Day,Dia
"Debug Mode","Modo de depuração"
Enabled,Habilitado
"Expiration Date","Data de validade"
"Full name of the person receiving the product or service paid for by the recurring payment.","Nome completo da pessoa que receber o produto ou serviço pago pelo pagamento recorrente."
"Incorrect credit card expiration date.","Data de validade de cartão de crédito incorrecto."
"Initial Fee","Taxa inicial"
"Initial non-recurring payment amount due immediately upon profile creation.","Inicial não-recorrentes de pagamento montante devido imediatamente após a criação de perfil."
Instructions,Instruções
"Internal Reference ID","ID de referência interna"
"Invalid Credit Card Number","Número inválido de cartão de crédito"
"Issue Number","Número de emissão"
"Make Check Payable to","Fazer cheque pago no"
"Make Check payable to:","Fazer o cheque pagável a:"
"Make Check payable to: %s","Fazer o cheque pagável a: %s"
"Maximum Billing Cycles","Ciclos de faturamento máximo"
"Maximum Order Total","Total máximo de ordem"
"Maximum Payment Failures","Falhas de pagamento máximo"
"Maximum Trial Billing Cycles","Ciclos de faturamento máximo experimental"
"Merchant ID","ID de comerciante"
"Minimum Order Total","Ordem mínima Total"
Month,Mês
N/A,N/A
"Name on Card","Nome no cartão"
"Name on the Card","Nome no cartão"
"New Order Status","Novo Status do pedido"
"Number of billing periods that make up one billing cycle.","Número de períodos de cobrança que compõem um ciclo de cobrança."
"Order action is not available.","Ordem de ação não está disponível."
"Overrides API URL that may be specified by a payment method.","Substitui o URL de API que pode ser especificado por um método de pagamento."
Password,Senha
"Payment Method","Método de pagamento"
"Payment Methods","Métodos de pagamento"
"Payment Methods Section","Seção de métodos de pagamento"
"Payment Reference ID","ID de referência de pagamento"
"Payment Services","Serviços de pagamento"
"Payment from Applicable Countries","Pagamento de países aplicáveis"
"Payment from Specific Countries","Pagamento de países específicos"
"Payment method code is not set.","Código de método de pagamento não está definido."
"Payment method code is undefined.","Código de método de pagamento é indefinido."
"Payment profile is invalid:\n%s","Perfil de pagamento é inválido: \n%s"
"Period frequency is wrong.","Frequência Períoda está errada."
"Please enter a valid credit card verification number.","Por favor insira um número de verificação de cartão de crédito válido."
"Processor ID","ID do processador"
"Purchase Order","Ordem de compra"
"Purchase Order Number","Número de ordem de compra"
"Purchase Order Number:","Número de ordem de compra:"
"Purchase Order Number: %s","Número de ordem de compra: %s"
"Recurring Profile Start Date","Data de início do perfil recorrente"
"Recurring profile start date has invalid format.","Data de início do perfil recorrente tem formato inválido."
"Reference ID is not set.","Referência ID não está definido."
"Refund action is not available.","Acção de restituição não está disponível."
"Repeats %s time(s).","Repete %s vez (es)."
"Repeats until suspended or canceled.","Repete até suspenso ou cancelado."
"Request Card Security Code","Solicitar o código de segurança do cartão"
