-OR-,-OU-
"2-pixel perimeter around the header space.","2-pixel perímetro em torno do espaço de cabeçalho."
"3D Secure","3D Secure"
"3D Secure Card Validation","Validação de cartão seguro 3D"
"3D Secure validation is required for Maestro cards. Supporting of American Express cards require additional agreement. Learn more at <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>.","3D segura validação é necessária para cartões Maestro. Apoio da American Express cartões exigem acordo adicional. Saiba mais em <a href=""http://www.paypal.com/amexupdate""> http://www.paypal.com/amexupdate</a>."
"<a href=""http://www.magentocommerce.com/paypal"">Start accepting payments via PayPal!</a>","<a href=""http://www.magentocommerce.com/paypal""> começar a aceitar pagamentos via PayPal!</a>"
"A case that has been resolved and close requires a reimbursement.","Um caso que foi resolvido e fecha requer um reembolso."
"A reversal has occurred on this transaction because of a customer dispute suspecting unauthorized spoof.","Uma reversão ocorreu sobre esta transação devido a uma disputa de cliente suspeitar paródia não autorizada."
"A reversal has occurred on this transaction because you have given the customer a refund.","Uma reversão ocorreu nessa transação porque você tem dado um reembolso para o cliente."
"A reversal has occurred on this transaction due to a chargeback by your customer.","Uma reversão ocorreu sobre esta transação devido um estorno pelo seu cliente."
"A reversal has occurred on this transaction due to a complaint about the transaction from your customer.","Uma reversão ocorreu sobre esta transação devido a uma reclamação sobre a transação de seu cliente."
"A reversal has occurred on this transaction due to your customer triggering a money-back guarantee.","Uma reversão ocorreu sobre esta transação devido a seu cliente, provocando uma garantia dinheiro de volta."
"A value is required for live mode. Refer to your CardinalCommerce agreement.","Um valor é necessário para o modo de viver. Consulte o acordo de CardinalCommerce."
"ACH Deposit (Hold for Dispute or Other Investigation)","Depósito ACH (manter pressionado para disputa ou outra investigação)"
"ACH Deposit (Reversal)","Depósito ACH (reversão)"
"ACH Funding for Funds Recovery from Account Balance","ACH financiamento para recuperação de fundos do saldo da conta"
"ACH Withdrawal","Retirada ACH"
"API Authentication Methods","Métodos de autenticação de API"
"API Certificate","Certificado de API"
"API Password","Senha da API"
"API Signature","Assinatura de API"
"API Username","API Username"
"API Uses Proxy","API usa Proxy"
"Ability for buyer to purchase without PayPal account.","Capacidade para comprador compre sem conta PayPal."
"Accept credit card and PayPal payments securely.","Aceita cartão de crédito e pagamentos PayPal com segurança."
"Accept credit cards, debit cards and PayPal payments securely.","Aceita cartões de crédito, de débito cartões e pagamentos PayPal com segurança."
