"Abandoned Carts","Carros abandonados"
"Abandoned carts","Carros abandonados"
Action,Ação
"Add to Cart","Adicionar ao carrinho"
"Add to Compare","Adicionar para comparar"
"Add to Wishlist","Adicionar à lista de desejos"
Any,Qualquer
"Applied Coupon","Cupom aplicada"
"Applies to Any of the Specified Order Statuses","Aplica-se a qualquer um dos status ordem especificada"
"Are you sure you want to refresh lifetime statistics? There can be performance impact during this operation.","Tens a certeza de que deseja atualizar estatísticas de tempo de vida? Pode haver impacto no desempenho durante esta operação."
"Are you sure?","Tem certeza?"
"Avg. Approved Rating","AVG. Rating de aprovado"
"Avg. Rating","AVG. Rating"
Bestsellers,Best-sellers
"Bought from wishlists","Comprei da lista de desejos"
CSV,CSV
Carts,Carrinhos
"Catalog Category (Without Subcategories)","Categoria do catálogo (sem subcategorias)"
"Compared Products Grid Template","Modelo de grade de produtos comparados"
"Compared Products List Template","Comparado o modelo de lista de produtos"
Coupons,Cupons
"Coupons Usage Report","Relatório de uso de cupons"
"Created At","Criado em"
"Current Month Starts","Mês atual começa"
Customer,Cliente
"Customer Name","Nome do cliente"
"Customer Tags","Tag do cliente"
Customers,Clientes
"Customers Report","Relatório de clientes"
"Customers Reviews","Comentários de clientes"
"Customers Tags","Tags de clientes"
"Customers by Number of Orders","Clientes por número de ordens"
"Customers by Orders Total","Clientes por Total de ordens"
"Customers by number of orders","Clientes por número de ordens"
"Customers by orders total","Clientes por total de ordens"
"Customers that have wishlist: %s%","Os clientes que têm wishlist: %s %"
Dashboard,"Painel de controle"
Day,Dia
"Default Recently Compared Products Count","Padrão recentemente em comparação a contagem de produtos"
"Default Recently Viewed Products Count","Padrão de contagem de produtos vistos recentemente"
Description,Descrição
Detail,Detalhe
Downloads,Downloads
Email,Email
"Empty Rows","Linhas vazias"
"Excel XML","Excel XML"
Filter,Filtro
"First Name","Primeiro nome"
From,De
Guest,Comentários
Hits,Hits
ID,ID
"IP Address","Endereço IP"
"Index model name must be defined","Nome do modelo de índice deve ser definido"
"Invalid date specified.","Data inválida especificada."
Invoiced,Facturado
"Items in Cart","Itens no carrinho"
"Last Name","Último nome"
"Last Review","Última revisão"
Link,Link
"List of Products Recently Compared and Removed from the Compare List by Visitor","Lista de produtos comparados recentemente e removido da lista de comparar por visitante"
"List of Products Recently Viewed by Visitor","Lista de produtos visualizados recentemente por visitante"
"Low Stock","Baixo estoque"
"Low stock","Baixo estoque"
"Match Period To","Período de partida para"
Month,Mês
"Most Viewed","Mais vistos"
Name,Nome
"New Accounts","Novas contas"
No,Não
"Number Added","Número adicionado"
"Number Fulfilled","Número cumprido"
"Number Of Reviews","Número de avaliações"
"Number Purchased","Número comprado"
"Number Viewed","Número visto"
"Number of Items","Número de itens"
"Number of New Accounts","Número de novas contas"
"Number of Products to display","Número de produtos para exibir"
"Number of Reviews","Número de avaliações"
"Number of Times Deleted","Número de vezes eliminado"
"Number of Total Tags","Número de Tags Total"
"Number of Unique Tags","Número de marcas exclusivas"
"Number of Views","Número de visualizações"
