"""%s"" coupon code is not valid.","""%s"" código do cupom não é válido."
%s,%s
"%s / %s rate:","%s / %s taxa:"
"%s for %s","%s para %s"
"%s order(s) cannot be canceled","%s liminares de caráter não podem ser cancelado"
"%s order(s) have been canceled.","%s encomendas foram canceladas."
"%s order(s) have been put on hold.","%s encomendas tem sido colocadas em espera."
"%s order(s) have been released from holding status.","%s encomendas foram libertadas da exploração, status."
"%s order(s) were not put on hold.","%s encomendas não ficaram paradas."
"%s order(s) were not released from holding status.","%s encomendas não foram liberadas por ter segurado o estatuto."
"* - Enter custom price excluding tax","* - Inserir personalizado preço excluindo impostos"
"* - Enter custom price including tax","* - Inserir personalizado preço, incluindo impostos"
"* Required Fields","* Os campos obrigatórios"
"-- Please Select --","Por favor selecione..."
"-- Please Select Billing Agreement--","Por favor selecione faturamento acordo..."
"About This Order:","Sobre esta ordem:"
"About This Profile:","Sobre este perfil:"
"About Your Invoice","Sobre sua fatura"
"About Your Order","Sobre seu pedido"
"About Your Refund","Sobre sua restituição"
"About Your Shipment","O carregamento"
"Accept Payment","Aceitamos o pagamento"
"Accept or Deny Payment","Aceitar ou negar o pagamento"
"Account Information","Informações da conta"
Action,Ação
Actions,Ações
Activate,Ativar
Active,Ativo
Add,Adicionar
"Add New Address","Adicionar novo endereço"
"Add Order Comments","Adicionar comentários de ordem"
"Add Package","Adicionar pacote"
"Add Products","Adicionar produtos"
"Add Selected Product(s) to Option","Adicionar produto (s) selecionado a opção"
"Add Selected Product(s) to Order","Adicionar produto (s) selecionados para o fim"
"Add Selected Product(s) to Package","Adicionar produto (s) selecionados para pacote"
"Add To Order","Adicionar ao pedido"
"Add Tracking Number","Adicionar o número de rastreamento."
"Add comment to order","Adicionar comentário ao pedido"
"Add new comment to credit memo","Adicionar novo comentário à nota de crédito"
"Add new comment to shipment","Adicionar novo comentário para carregamento"
"Add new tracking number","Adicionar o novo número de rastreamento"
"Add to Cart","Adicionar ao carrinho"
"Additional Product Info","Informação adicional do produto"
Address,Endereço
"Address model is not defined.","Modelo de endereço não está definido."
"Adjustment Fee","Taxa de ajuste"
"Adjustment Refund","Restituição de ajuste"
"Agreement Information","Informações de acordo"
"Allow Reorder","Permita reordenar"
Amount,Quantidade
"Amount: %s.","Quantidade: %s."
"An error occurred while assigning order status. Status has not been assigned.","Ocorreu um erro ao atribuir o status do pedido. Status não tiver sido atribuído."
"An error occurred while creating shipping label.","Ocorreu um erro ao criar a etiqueta de envio."
"An error occurred while saving order status. The status has not been added.","Ocorreu um erro ao salvar o status do pedido. O status não foi adicionado."
"An error occurred while unassigning order status.","Ocorreu um erro ao status do pedido cancelando a atribuição."
"An error occurred while updating the order address. The address has not been changed.","Ocorreu um erro ao atualizar o endereço de ordem. O endereço não foi alterado."
"An item option with code %s already exists.","Uma opção de item com código %s já existe."
"Anchor Custom Title","Âncora título personalizado"
"Append Comments","Acrescentar comentários"
Apply,Aplicar
"Apply Coupon Code","Aplicar o código de cupom"
