Action,Ação
"Add Sitemap","Adicionar Sitemap"
Always,Sempre
"CMS Pages Options","CMS páginas opções"
"Categories Options","Opções de categorias"
Daily,Diário
"Edit Sitemap","Editar o mapa do site"
Enabled,Habilitado
"Error Email Recipient","Destinatário de erro de E-mail"
"Error Email Sender","Erro E-mail remetente"
"Error Email Template","Modelo de Email erro"
"File ""%s"" cannot be saved. Please, make sure the directory ""%s"" is writeable by web server.","Arquivo ""%s"" não pode ser salvo. Por favor, certifique-se o diretório ""%s"" é gravável pelo servidor web."
Filename,"Nome do arquivo"
Frequency,Freqüência
Generate,Gerar
"Generation Settings","Configurações de geração"
"Google Sitemap","Google Sitemap"
Hourly,"Por hora"
ID,ID
"Last Time Generated","Última vez gerada"
"Link for Google","Link para o Google"
Monthly,Mensal
Never,Nunca
"New Sitemap","Novo mapa do site"
Path,Caminho
"Please create the specified folder ""%s"" before saving the sitemap.","Por favor, crie a pasta especificada ""%s"" antes de salvar o sitemap."
"Please define correct path","Por favor, defina o caminho correto"
"Please make sure that ""%s"" is writable by web-server.","Por favor, certifique-se que ""%s"" é gravável pelo servidor web."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in the filename. No spaces or other characters are allowed.","Por favor, use somente letras (a-z ou A-Z), números (0-9) ou sublinhado (_) no nome do arquivo. Sem espaços ou outros caracteres são permitidos."
Priority,Prioridade
"Products Options","Opções de produtos"
Sitemap,"Mapa do site"
"Sitemap generate Warnings","Sitemap geram avisos"
"Start Time","Hora de início"
"Store View","Vista da loja"
"The priority must be between 0 and 1.","A prioridade deve ser entre 0 e 1."
"The sitemap ""%s"" has been generated.","O mapa do site ""%s"" foi gerada."
"The sitemap has been deleted.","O sitemap foi excluído."
"The sitemap has been saved.","O sitemap foi salvo."
"This sitemap no longer exists.","Este mapa do site não existe mais."
"Unable to find a sitemap to delete.","Incapaz de encontrar um sitemap para excluir."
"Unable to find a sitemap to generate.","Não é possível encontrar um mapa do site para gerar."
"Unable to generate the sitemap.","Não é possível gerar o sitemap."
"Valid values range: from 0.0 to 1.0.","Intervalo de valores válidos: de 0,0 a 1,0."
Weekly,Semanal
Yearly,Anual
