"%1$s has been updated in your wishlist.","%1$ s foi atualizada em sua lista de desejos."
"%d product(s) have been added to shopping cart: %s.","%d produto (s) foram adicionados ao carrinho de compras: %s."
"%s for ""%s"".","%s por ""%s""."
"%s has been moved to wishlist %s","%s mudou para wishlist %s"
"%s's Wishlist","%s's Wishlist"
"* Required Fields","* Os campos obrigatórios"
"Add All to Cart","Adicionar tudo ao carrinho"
"Add to Cart","Adicionar ao carrinho"
"Add to Compare","Adicionar para comparar"
"Add to Wishlist","Adicionar à lista de desejos"
"Added From","Adicionado de"
"An error occurred while adding item to wishlist.","Ocorreu um erro ao adicionar o item à lista de desejos."
"An error occurred while adding item to wishlist: %s","Ocorreu um erro ao adicionar o item à lista de desejos: %s"
"An error occurred while deleting the item from wishlist.","Ocorreu um erro ao excluir o item de lista de desejos."
"An error occurred while deleting the item from wishlist: %s","Ocorreu um erro ao excluir o item de lista de desejos: %s"
"An error occurred while updating wishlist.","Ocorreu um erro ao atualizar a lista de desejos."
"Are you sure you want to remove this product from your wishlist?","Tem certeza que deseja remover este produto de sua lista de desejos?"
"Are you sure you would like to remove this item from the wishlist?","Tens a certeza de que você gostaria de remover este item da lista de desejos?"
Back,Voltar
"Can\'t delete item from wishlist","Can\ ' t excluir item de lista de desejos"
"Can\'t save description %s","Can\ ' t salvar descrição %s"
"Can\'t update wishlist","Can\ ' t atualizar lista de desejos"
"Cannot add item to shopping cart","Não é possível adicionar item ao carrinho de compras"
"Cannot add the item to shopping cart.","Não é possível adicionar o item ao carrinho de compras."
"Cannot configure product","Não é possível configurar o produto"
"Cannot load wishlist item","Não é possível carregar o item de lista de desejos"
"Cannot move item to wishlist","Não pode mover o item para a lista de desejos"
"Cannot specify product.","Não é possível especificar o produto."
"Cannot specify wishlist item.","Não é possível especificar o item de lista de desejos."
"Cannot specify wishlist.","Não é possível especificar a lista de desejos."
"Cannot update wishlist","Não é possível atualizar a lista de desejos"
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","Verifique esta caixa de seleção se você deseja adicionar um link para um rss feed para sua lista de desejos."
"Click for price","Clique para preço"
Comment,Comentário
Comment:,Comentário:
"Configure Wishlist Item","Configurar o Item de lista de desejos"
"Configured Price:","Preço configurado:"
"Could not find wishlist","Não consegui encontrar a lista de desejos"
"Customer My Account My Wishlist","Cliente minha conta minha lista de desejos"
"Customer My Account Wishlist Sharing Form","Cliente minha Wishlist conta compartilhamento de forma"
"Customer Shared Wishlist View","Cliente compartilhado de exibição de lista de desejos"
"Date Added","Data adicionada"
"Days in Wishlist","Dias na lista de desejos"
"Display Wishlist Summary","Exibir Resumo Wishlist"
Edit,Editar
"Email Sender","E-mail remetente"
"Email Template","Modelo de email"
"Email address can\'t be empty.","E-mail endereço can\ ' t ser vazio."
"Email addresses, separated by commas","Endereços de e-mail, separados por vírgulas"
Enabled,Habilitado
"General Options","Opções gerais"
"Go to Wishlist","Vá à lista de desejos"
"Helper for wishlist options rendering doesn't implement required interface.","Auxiliar para opções de lista de desejos de renderização não implementa a interface necessária."
"In stock","Em estoque"
"Last Added Items","Últimos itens adicionados"
Message,Mensagem
"My Wishlist","Minha lista de desejos"
"My Wishlist (%d item)","Minha lista de desejos (%d item)"
"My Wishlist (%d items)","Minha lista de desejos (%d itens)"
"My Wishlist <small>(%d)</small>","Minha lista de desejos <small>(%d)</small>"
"My Wishlist Link","Meu Link de lista de desejos"
"Options Details","Detalhes de opções"
"Out of stock","Fora de estoque"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","Por favor insira um endereços de email válido, separados por vírgulas. Por exemplo, johndoe@domain.com, johnsmith@domain.com."
"Please input a valid email address.","Por favor, insira um endereço de email válido."
"Please, enter your comments...","Por favor, digite seus comentários..."
Product,Produto
"Product Details and Comment","Comentário e detalhes do produto"
"Product(s) %s have required options. Each of them can be added to cart separately only.","Produto (s) %s exigiram opções. Cada um deles pode ser adicionado ao carrinho separadamente apenas."
"RSS Feed","RSS Feed"
"RSS link to %s's wishlist","Link RSS para %s's wishlist"
"Remove Item","Remover Item"
"Remove This Item","Remover este Item"
"Remove item","Remover item"
"Requested cart item doesn't exist","Item de carrinho solicitado não existe"
"Requested wishlist doesn't exist","Wishlist solicitado não existe"
"Share Options","Opções de compartilhamento"
"Share Wishlist","Compartilhar a lista de desejos"
"Share Your Wishlist","Compartilhe sua lista de desejos"
"Sharing Information","Compartilhamento de informações"
"This Wishlist has no Items","Esta lista de desejos não tem nenhum item"
"This product(s) is currently out of stock","Este produto está atualmente fora de estoque"
"Unable to add the following product(s) to shopping cart: %s.","Não é possível adicionar os seguintes produtos ao carrinho de compras: %s."
"Update Wishlist","Atualizar a lista de desejos"
"User Description","Descrição do usuário"
"View Details","Exibir detalhes"
"View Product","Visualizar o produto"
"What's this?","O que é isto?"
Wishlist,"Lista de desejos"
"Wishlist Section","Seção de lista de desejos"
"Wishlist Sharing","Compartilhamento de lista de desejos"
"Wishlist could not be created.","Lista de desejos não pôde ser criada."
"Wishlist is empty now.","Lista de desejos agora está vazia."
"You have no items in your wishlist.","Você não tem nenhum item em sua lista de desejos."
"Your Wishlist has been shared.","Sua lista de desejos foi compartilhada."
