" But cart has some errors."," Mas o carrinho tem alguns erros."
" Note: Image size affects the performance of your app."," Nota: O tamanho da imagem afeta o desempenho do seu aplicativo."
"""Description"" is more than %d characters long","""Descrição"" é mais do que %d caracteres"
"""Title"" is more than %d characters long","""Título"" é mais do que %d caracteres"
"""id"" attribute is required for a ""%s"" field.","atributo ""id"" é necessário para um ""%s"" campo."
"""line_count"" attribute is required for ""multiline"" element.","""line_count"" atributo é necessário para o elemento ""multiline""."
"""message"" attribute is required for ""%s"" validator rule.","""mensagem"" atributo é necessário para ""%s"" regra do validador."
"%1$s has been added to your wishlist.","%1$ s foi adicionado à sua lista de desejos."
"%1$s incl tax.","imposto de incl %1$ s."
"%@ is not correct","% @ Não é correto"
"%s API Key required.","%s API Key exigidas."
"%s Application ID required.","%s Aplicação ID exigido."
"%s Secret Key required.","%s Secreta chave necessária."
"%s attribute is required.","%s atributo é necessário."
"%s fields is required","%s campos é obrigatório"
"%s has been added to your cart.","%s foi adicionado ao seu carrinho."
"%s id:","%s id:"
"%s was updated in your shopping cart.","%s foi atualizado no seu carrinho de compras."
"(Includes more countries than those listed below. As the application owner, you are responsible for complying with country-specific laws related to the distribution or sale of your application into that country, including your home country.)","(Inclui mais países do que aqueles listados abaixo. Como o proprietário do aplicativo, você é responsável pelo cumprimento das leis específicas do país relacionadas com a distribuição ou a venda de seu aplicativo para aquele país, incluindo o seu país de origem.)"
"* - field is required","* - campo é obrigatório"
"*Subject to change","* Sujeito a alteração"
"1. Please select type of the action:","1. Selecione o tipo da ação:"
"10:40 AM",10:40
"2. Please select a page","2. Por favor, selecione uma página"
"2. Type Category Name","2. Nome de categoria do tipo"
"2. Type Product Name","2. Nome de produto do tipo"
"80px x 80px","80px x 80px"
"80x80 px","80 x 80 px"
"<a href=""%s"" target=""_blank"">Login</a> to Urban Airship.","<a href=""%s"" target=""_blank""> login</a> para Urban dirigível."
"A Catalog Only App will not support functions such as add to cart, add to wishlist, or login.","Um catálogo só App não oferecerá suporte a funções tais como adicionar ao carrinho, adicionem à lista de desejos, ou login."
"A new password has been sent.","Uma nova senha foi enviada."
About,Sobre
"Access forbidden","Acesso proibido"
Account,Conta
"Account Information","Informações da conta"
"Account Settings","Configurações de conta"
"Account confirmation is required. Please check your email for the confirmation link.","Confirmação de conta é necessária. Por favor, verifique seu e-mail para o link de confirmação."
"Account information has been saved.","Informações de conta tem sido salvo."
Action,Ação
"Action type does\'t recognized","Tipo de ação does\ ' t reconhecido"
"Action type does\'t recognized.","Acção tipo does\ ' t reconhecido."
"Action type doesn\'t recognized.","Acção tipo doesn\ ' t reconhecido."
Activate,Ativar
"Activate PayPal Checkout","Ativar PayPal Checkout"
"Activate PayPal MECL","Ativar PayPal MECL"
"Activation Key","Chave de ativação"
Add,Adicionar
"Add Action","Adicionar ação"
"Add Address from Contacts","Adicionar endereços de contatos"
"Add App","Adicionar App"
"Add Custom","Adicionar personalizado"
"Add New Address","Adicionar novo endereço"
"Add New Template","Adicionar novo modelo"
"Add Page","Adicionar página"
"Add To Wishlist","Adicionar à lista de desejos"
"Add a billing address","Adicionar um endereço de cobrança"
"Add a shipping address","Adicionar um endereço de entrega"
"Add to Cart","Adicionar ao carrinho"
"Add to Wishlist","Adicionar à lista de desejos"
"Adding Product to Cart...","Adicionar produto ao carrinho..."
"Adding Product to WishList...","Adicionar produto à lista de desejos..."
"Additional Address","Endereço adicional"
"Additional Info","Informação adicional"
Address,Endereço
"Address 2","Endereço 2"
"Address Book","Livro de endereços"
"Address Book Updated","Agenda atualizada"
"Address Info","Informação de endereço"
"Address book is empty","A agenda está vazia"
"Address data not specified.","Dados de endereço não especificados."
"Address does not belong to this customer.","Endereço não pertence a este cliente."
"Address has been deleted.","Endereço foi excluído."
"Address has been saved.","Endereço foi salvo."
"Admin Application Settings","Configurações do aplicativo admin"
"Admin Mobile Application","Aplicativo Mobile Admin"
"Admin application has not been enabled","Admin aplicativo não tiver sido habilitado"
"Administrative contact for this app and for app submission issues.","Contato administrativo para este app e por questões de apresentação do app."
"Advanced Settings","Configurações avançadas"
"After submitting the App to Magento, please contact <a href=""mailto:%1$s"">%1$s</a> to receive the Application Key, Application Secret and Application Master Secret.","Depois de submeter o App para Magento, entre em contato com <a href=""mailto:%1$s""> %1$ s</a> para receber a chave de aplicativo, aplicativo segredo e aplicação mestre secreto."
"AirMail Message Queue","Fila de mensagens de correio aéreo"
"AirMail Messages Queue","Fila de mensagens de correio aéreo"
"AirMail Template Preview","Visualização de modelo correio aéreo"
"AirMail message","Mensagem de correio aéreo"
"AirMail templates","Modelos de correio aéreo"
"All Allowed Countries","Tudo permitido países"
"All Images","Todas as imagens"
"All locations","Todos os locais"
Amount,Quantidade
"Amount in %@","Quantidade em % @"
Amounts,Montantes
"An account with this email address already exists.","Já existe uma conta com este endereço de e-mail."
"An error occurred while adding item to wishlist.","Ocorreu um erro ao adicionar o item à lista de desejos."
"An error occurred while deleting the address.","Ocorreu um erro ao excluir o endereço."
"An error occurred while loading categories.","Ocorreu um erro ao carregar categorias."
"An error occurred while loading category filters.","Ocorreu um erro ao carregar o filtros de categoria."
"An error occurred while loading configuration.","Ocorreu um erro ao carregar a configuração."
"An error occurred while loading localization.","Ocorreu um erro ao carregar a localização."
"An error occurred while loading login form.","Ocorreu um erro ao carregar o formulário de login."
"An error occurred while loading wishlist.","Ocorreu um erro ao carregar a lista de desejos."
"An error occurred while processing your order. Please contact us or try again later.","Ocorreu um erro ao processar sua ordem. Por favor, entre em contato conosco, ou tente novamente mais tarde."
"An error occurred while processing your request.","Ocorreu um erro ao processar seu pedido."
"An error occurred while removing item from wishlist.","Ocorreu um erro ao remover o item da lista de desejos."
"An error occurred while removing items from wishlist.","Ocorreu um erro ao remover itens da lista de desejos."
Analytics,Analytics
Android,Android
"Android doesn\'t support AirMail message type.","Android doesn\ ' t suporte o tipo de mensagem de correio aéreo."
"App Background","Fundo de App"
"App Background (landscape mode)","Fundo de App (modo paisagem)"
"App Background (landscape mode).","Fundo de App (modo paisagem)."
"App Background (portrait mode)","Fundo de App (modo retrato)"
"App Background (portrait mode).","Fundo de App (modo retrato)."
"App Background image missing.","App fundo imagem faltando."
"App Code","Código app"
"App Information","Informações app"
"App Name","Nome de App"
"App Stores","Lojas de aplicativos"
"App Submission History","História de submissão de App"
"App Title","Título de App"
"App code","Código app"
"App code required.","Necessário código do App."
"App does not exist.","App não existe."
"App has been deleted.","App foi excluído."
"App has been saved.","App foi salvo."
"App has been submitted.","App foi submetido."
"App model not loaded.","Modelo de aplicativo não está carregado."
"App with specified code does not exist.","App com código especificado não existe."
"Appears in the info section of your app (example: Copyright 2010 â Your Company, Inc.)","Aparece na seção de informação de sua app (exemplo: Copyright 2010-sua empresa, Inc.)"
Application,Aplicativo
"Application Key","Chave de aplicativo"
"Application Master Secret","Aplicação mestre secreto"
"Application Name","Nome do aplicativo"
"Application Secret","Segredo de aplicativo"
"Application doesn\'t exist.","Aplicação doesn\ ' t existe."
Apply,Aplicar
"Applying Coupon Code","Aplicar o código de cupom"
"Applying Gift Card %@","Aplicação do presente cartão % @"
"Are you sure you want to cancel a message?","Tem certeza que deseja cancelar uma mensagem?"
"Are you sure you want to cancel selected records?","Tem certeza que deseja cancelar registros selecionados?"
"Are you sure you want to delete a message?","Tem certeza que deseja excluir uma mensagem?"
"Are you sure you want to delete selected records?","Tem certeza que deseja excluir os registros selecionados?"
"Are you sure you want to delete this theme? This change will affect all applications.","Tem certeza que deseja excluir este tema? Essa alteração afetará todos os aplicativos."
"Are you sure you want to do this?","Tem certeza que quer fazer isso?"
"Are you sure you want to remove this item?","Tem certeza que deseja remover este item?"
"As Low As","Tão baixo quanto"
"As Low Excl. Tax","Como baixa imposto excl."
"As Low Incl. Tax","Como baixa imposto incl."
"As a Magento customer, Urban Airship is offering you unlimited Push Notifications and Rich Push for $100/year* along with a 60 day free trial.","Como um cliente de Magento, dirigível urbana está te oferecendo ilimitado notificações Push e Rich Push para US $100 / ano * juntamente com um 60 dias de avaliação gratuita."
"As low as","Tão baixo quanto"
"As low as excl. tax","Tão baixo quanto fiscais excl."
"As low as incl. tax","Tão baixo quanto imposto incl."
"At last one application has to be created.","Finalmente, uma aplicação tem de ser criado."
"At least one option should be selected","Pelo menos uma opção deve ser selecionada"
"Authentication complete.","Autenticação completa."
"Authentication to %@ did failed...","Autenticação para % @ que falha..."
"Average Order Amount","Quantidade de ordem média"
"Average Orders","Média de ordens"
"Average Rating","Classificação média"
Back,Voltar
"Back to App Edit","Voltar à App editar"
"Background Color","Cor de fundo"
Balance,Equilíbrio
"Balance Change","Mudança de equilíbrio"
"Balance History","História de equilíbrio"
"Banner on Home Screen","Banner na tela inicial"
"Banner on Home Screen (landscape mode)","Banner na Home Screen (modo paisagem)"
