"All Credit Cards / Visa, Mastercard, AMEX, JCB, Diners (powered by Moneybookers) - International","Todos os cartões de crédito / Visa, Mastercard, AMEX, JCB, Diners (alimentados por Moneybookers) - internacional"
"CartaSi (powered by Moneybookers) - Italy","CartaSi (alimentado por Moneybookers) - Itália"
"Carte Bleue (powered by Moneybookers) - France","Carte Bleue (alimentado por Moneybookers) - França"
"Customer ID","ID do cliente"
"Dankort (powered by Moneybookers) - Denmark","Dankort (alimentado por Moneybookers) - Dinamarca"
"EPS Online-Ãberweisung (powered by Moneybookers) - Austria","EPS Online-Überweisung (alimentado por Moneybookers) - Áustria"
Enabled,Habilitado
"Find out more about Online Bank Transfer","Saiba mais sobre a transferência de banco on-line"
"Giropay (powered by Moneybookers) - Germany","Giropay (alimentado por Moneybookers) - Alemanha"
"Laser (powered by Moneybookers) - Ireland","Laser (alimentado por Moneybookers) - Irlanda"
"Lastschrift (ELV) (powered by Moneybookers) - Germany","Lastschrift (ELV) (alimentado por Moneybookers) - Alemanha"
"Loading secure payment page (SSL)","Carregamento de página de pagamento seguro (SSL)"
"Maestro (powered by Moneybookers) - United Kingdom, Austria, Spain","Maestro (alimentado por Moneybookers) - Unidos Reino, Áustria, Espanha"
Moneybookers,Moneybookers
"Moneybookers Settings","Configurações de Moneybookers"
"Moneybookers Transaction ID: %s","ID da transação Moneybookers: %s"
"Moneybookers eWallet","Moneybookers eWallet"
"More information about Moneybookers","Obter mais informações sobre Moneybookers"
"Nordea Solo (powered by Moneybookers) - Finland","Nordea Solo (alimentado por Moneybookers) - Finlândia"
"Nordea Solo (powered by Moneybookers) - Sweden","Nordea Solo (alimentado por Moneybookers) - Suécia"
"Online Bank Transfer (powered by Moneybookers)","Transferência bancária online (alimentada por Moneybookers)"
"Order ID","ID da encomenda"
"POLi (powered by Moneybookers) - Australia","POLi (alimentado por Moneybookers) - Austrália"
"Payment failed.","Pagamento falhou."
"Payment from Applicable Countries","Pagamento de países aplicáveis"
"Payment from Specific Countries","Pagamento de países específicos"
"Payment has not been processed yet.","Pagamento ainda não foi processado."
"Payment was canceled.","Pagamento foi cancelado."
"Pending bank transfer created.","Pendente criada de transferência de banco."
"Please pay your order now","Por favor pague a sua encomenda agora"
"Postepay (powered by Moneybookers) - Italy","Postepay (alimentado por Moneybookers) - Itália"
"Powered by Moneybookers","Alimentado por Moneybookers"
"Przelewy24 (powered by Moneybookers) - Poland","Przelewy24 (alimentado por Moneybookers) - Polónia"
"SofortÃ¼berweisung (powered by Moneybookers) - Germany","Sofortüberweisung (alimentado por Moneybookers) - Alemanha"
"Sort Order","Ordem de classificação"
"The amount has been authorized and captured by Moneybookers.","O montante tem sido autorizado e capturado por Moneybookers."
"The customer was redirected to Moneybookers.","O cliente foi redirecionado para Moneybookers."
"The order has been canceled.","A ordem foi cancelada."
Title,Título
"You will be redirected to our secure payment page when you place an order.","Você será redirecionado para nossa página de pagamento seguro quando você faz um pedido."
"eNETS (powered by Moneybookers) - Singapore","eNETS (alimentado por Moneybookers) - Singapura"
"iDeal (powered by Moneybookers) - Netherlands","iDeal (alimentado por Moneybookers) - Países Baixos"
