%s,%s
"%s role is a special one and can\'t be changed.","%s o papel é um especial e can\ ' t ser alterado."
"%s role is a special one and can\'t be deleted.","%s o papel é um especial e can\ ' t ser excluído."
"%s role is protected.","%s papel está protegido."
"ACL Attribute Rules","Regras de atributo ACL"
"ACL Attributes Information","Informações de atributos ACL"
Add,Adicionar
"Add Admin Role","Adicionar a função de administrador"
"Add New Role","Adicionar nova função"
"Address Type","Tipo de endereço"
Admin,Admin
Allow,Permitir
"An error occurred while deleting the role.","Ocorreu um erro ao excluir o papel."
"An error occurred while saving attribute rules.","Ocorreu um erro ao salvar as regras de atributos."
"An error occurred while saving role.","Ocorreu um erro ao salvar o papel."
"Api Rules Information","Informação de normas API"
Assigned,Atribuído
"Associate to Website","Associar-se ao site"
"Attribute Rules Information","Informações sobre regras de atributos"
"Attribute Set","Conjunto de atributos"
Attributes,Atributos
"Automatically Return Credit Memo Item to Stock","Retornar Automaticamente a Nota de Crédito do Item para o Estoque"
Back,Voltar
Backorders,"Ordens em Atraso"
"Base Currency","Moeda base"
"Base Customer Balance","Saldo base cliente"
"Base Discount","Desconto base"
"Base Discount Amount","Valor do desconto base"
"Base Item Subtotal","Item base Subtotal"
"Base Item Subtotal Including Tax","Item base Subtotal inclui IVA"
"Base Original Price","Preço base Original"
"Base Price","Preço base"
"Base Price Including Tax","Preço base incluindo IVA"
"Base Shipping","Envio de base"
"Base Shipping Discount","Base frete desconto"
"Base Shipping Tax","Base fiscal do transporte"
"Base Subtotal","Base Subtotal"
"Base Subtotal Including Tax","Base Subtotal incluindo IVA"
"Base Tax Amount","Quantidade de base fiscal"
"Base Total Due","Base Total devido"
"Base Total Paid","Base Total pago"
"Base Total Refunded","Base Total reembolsado"
"Buy Now URL","Compre agora o URL"
"Can Be Divided into Multiple Boxes for Shipping","Pode ser dividido em várias caixas para transporte"
"Canceled Qty","Qty cancelado"
Catalog,Catálogo
"Catalog Product","Produto de catálogo"
CatalogInventory,CatalogInventory
"Category ID","ID da categoria"
City,Cidade
Company,Empresa
Country,País
"Coupon Code","Código de cupom"
Create,Criar
"Create Permanent Redirect for old URL","Criar redirecionamento permanente para a URL antiga"
"Created From","Criado a partir de"
Customer,Cliente
"Customer Address","Endereço do cliente"
"Customer Address ID","Identificação de endereço do cliente"
"Customer Balance","Saldo do cliente"
"Customer First Name","Primeiro Nome do Cliente"
"Customer ID","ID do cliente"
"Customer Last Name","Último Nome do Cliente"
"Customer Middle Name","Nome do meio do cliente"
"Customer Prefix","Prefixo do cliente"
"Customer Suffix","Sufixo do cliente"
"Default Image","Imagem padrão"
Delete,Excluir
Deny,Negar
"Disable automatic group change based on VAT ID","Desactivar a mudança automática de grupo baseada no ID de IVA"
Discount,Desconto
"Discount Amount","Desconto de quantidade"
"Discount Description","Descrição do disconto"
Edit,Editar
"Edit %s ACL attribute rules","Editar %s regras de atributo ACL"
"Edit Role","Editar funçõa"
"Edit attribute rules for %s Role","Editar regras de atributo para %s papel"
Email,E-mail
"Enable Qty Increments","Habilitar Qty incrementos"
Exclude,Excluir
"File Content","Conteúdo do arquivo"
"File MIME Type","Tipo MIME do arquivo."
"File Name","Nome do arquivo"
"Final Price With Tax","Preço final com impostos"
"Final Price Without Tax","Preço final sem impostos"
"First Name","Primeiro nome"
"Gift Message","Mensagem de presente"
"Grand Total","Total geral"
"Grand Total to Be Charged","Valor Total a cobrar"
Group,Grupo
Guest,Convidado
"Has Custom Options","Tem opções personalizadas"
ID,Identidade
"Inventory Data","Dados de inventário"
"Invoiced Qty","Qty facturado"
"Is Confirmed","É confirmado"
"Is Default Billing Address","É o endereço de cobrança padrão"
"Is Default Shipping Address","É o endereço de entrega padrão"
"Item ID","ID do item"
"Item Subtotal","Item Subtotal"
"Item Subtotal Including Tax","Item Subtotal incluindo IVA"
Label,Rótulo
"Last Logged In","Última registrada"
"Last Name","Último nome"
"Low Stock Date","Data de estoque baixa"
"Manage Stock","Gerenciar Estoque"
"Maximum Qty Allowed in Shopping Cart","Qtd máxima permitida no carrinho de compras"
"Minimum Qty Allowed in Shopping Cart","Qty mínima permitida no carrinho de compras"
"New Role","Nova Função"
"Notify for Quantity Below","Notificar para Quantidade Abaixo"
OAuth,OAuth
Order,"Ordem #"
"Order Addresses","Endereços de ordem"
"Order Comments","Comentários de ordem"
"Order Currency","Moeda da ordem"
"Order Date","Data do pedido"
"Order ID","ID da Ordem"
"Order ID (internal)","ID da encomenda (interno)"
"Order Item ID","Ordem Item ID"
"Order Items","Itens do pedido"
"Order Status","Status do pedido"
"Ordered Qty","Qty ordenada"
Orders,Ordens
"Original Price","Preço original"
"Parent Order Item ID","ID de Item pai ordem"
"Payment Method","Método de pagamento"
"Phone Number","Número de telefone"
"Placed from IP","Colocação do IP"
"Please enter a valid number in ""max_sale_qty"" field","Por favor, insira um número válido no campo ""max_sale_qty"""
"Please enter a valid number in ""min_qty"" field","Por favor, insira um número válido no campo ""min_qty"""
"Please enter a valid number in ""min_sale_qty"" field","Por favor, insira um número válido no campo ""min_sale_qty"""
"Please enter a valid number in ""notify_stock_qty"" field","Por favor, insira um número válido no campo ""notify_stock_qty"""
"Please use numbers only in ""category_id"" field.","Por favor, use números somente no campo ""category_id""."
"Please use numbers only in ""qty_increments"" field. Please avoid spaces or other characters such as dots or commas.","Por favor, use números somente no campo ""qty_increments"". Por favor, Evite espaços ou outros caracteres, tais como pontos ou vírgulas."
Position,Posição
Price,Preço
"Price Including Tax","Preço, incluindo impostos"
Product,"Nome do produto"
"Product Category","Categoria de produto"
"Product ID","ID de produto"
"Product Image","Imagem do produto"
"Product Type","Tipo de produto"
"Product URL","URL do produto"
"Product Website","Site do produto"
"Product and Custom Options Name","Produto e o nome de opções personalizadas"
Qty,Qty
"Qty Increments","Qty incrementos"
"Qty Uses Decimals","Qty usa casas decimais"
"Qty for Item's Status to Become Out of Stock","Qty para o Status do Item tornar-se fora de estoque"
"REST - Attributes","RESTO - atributos"
"REST - Roles","RESTO - papéis"
"REST ACL Attributes","Atributos ACL do resto"
"REST Attributes","OUTROS atributos"
"REST Role","PAPEL de resto"
"REST Roles","OUTROS papéis"
"REST Roles Information","Informações sobre funções do resto"
Read,Leitura
"Refunded Qty","Qty reembolsado"
"Regular Price With Tax","Preço normal com imposto"
"Regular Price Without Tax","Preço normal sem imposto"
"Rest Roles","Outros papéis"
Retrieve,Recuperar
"Role ""%s"" no longer exists","Papel ""%s"" não existe mais"
"Role ""%s"" not found.","Papel ""%s"" não encontrado."
"Role API Resources","Recursos de função de API"
"Role Info","Informação de Função"
"Role Information","Informação de Função"
"Role Name","Nome de Função"
"Role Users","Usuários de Função"
"Role has been deleted.","Papel foi excluído."
Roles,Funções
SKU,"Unidade de Manutenção de Estoque"
"Salability Status","Salability Status"
Sales,Vendas
Save,Salvar
"Shipped Qty","Qty enviado"
"Shipping Amount","Transporte quantidade"
"Shipping Discount","Frete com desconto"
"Shipping Including Tax","Transporte, incluindo IVA"
"Shipping Method","Método de envio"
"Shipping Tax","Fiscal de transporte"
State,Estado
"Stock Availability","Disponibilidade de stock"
"Stock ID","Estoque ID"
"Stock Item","Item de estoque"
"Stock Status","Estado de Estoque"
"Store Currency to Order Currency Rate","Armazenar a moeda, a taxa de câmbio de ordem"
"Store Name","Nome da loja"
Street,Rua
Subtotal,Subtotal
"Subtotal Including Tax","Subtotal inclui IVA"
System,Sistema
"Tax Amount","Valor do imposto"
"Tax Name","Nome de imposto"
"Tax Percent","Por cento de imposto"
"Tax Rate","Taxa de imposto"
"The ""enable_qty_increments"" field must be set to 0 or 1.","O campo ""enable_qty_increments"" deve ser definido como 0 ou 1."
"The ""is_decimal_divided"" field must be set to 0 or 1.","O campo ""is_decimal_divided"" deve ser definido como 0 ou 1."
"The ""is_in_stock"" field must be set to 0 or 1.","O campo ""is_in_stock"" deve ser definido como 0 ou 1."
"The ""is_qty_decimal"" field must be set to 0 or 1.","O campo ""is_qty_decimal"" deve ser definido como 0 ou 1."
"The ""is_qty_decimal"" field must be set to 0, 1, or 2.","O campo ""is_qty_decimal"" deve ser definido para 0, 1 ou 2."
"The ""manage_stock"" field must be set to 0 or 1.","O campo ""manage_stock"" deve ser definido como 0 ou 1."
"The ""stock_status_changed_auto"" field must be set to 0 or 1.","O campo ""stock_status_changed_auto"" deve ser definido como 0 ou 1."
"The ""use_config_backorders"" field must be set to 0 or 1.","O campo ""use_config_backorders"" deve ser definido como 0 ou 1."
"The ""use_config_enable_qty_inc"" field must be set to 0 or 1.","O campo ""use_config_enable_qty_inc"" deve ser definido como 0 ou 1."
"The ""use_config_manage_stock"" field must be set to 0 or 1.","O campo ""use_config_manage_stock"" deve ser definido como 0 ou 1."
"The ""use_config_max_sale_qty"" field must be set to 0 or 1.","O campo ""use_config_max_sale_qty"" deve ser definido como 0 ou 1."
"The ""use_config_min_qty"" field must be set to 0 or 1.","O campo ""use_config_min_qty"" deve ser definido como 0 ou 1."
"The ""use_config_min_sale_qty"" field must be set to 0 or 1.","O campo ""use_config_min_sale_qty"" deve ser definido como 0 ou 1."
"The ""use_config_notify_stock_qty"" field must be set to 0 or 1.","O campo ""use_config_notify_stock_qty"" deve ser definido como 0 ou 1."
"The ""use_config_qty_increments"" field must be set to 0 or 1.","O campo ""use_config_qty_increments"" deve ser definido como 0 ou 1."
"The attribute rules were saved.","Salvaram-se as regras de atributo."
"The role has been saved.","O papel foi salvo."
