"'%value%' appears to be a DNS hostname but cannot extract TLD part","'% valor %' parece ser um nome de host DNS, mas não pode extrair parte TLD"
"'%value%' appears to be a DNS hostname but cannot match TLD against known list","'% valor %' parece ser um nome de host DNS, mas não pode corresponder o TLD contra lista conhecida"
"'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%'","'% valor %' parece ser um nome de host DNS, mas não pode corresponder contra o esquema de nome de host para TLD '% % de tld'"
"'%value%' appears to be a DNS hostname but contains a dash in an invalid position","'% valor %' parece ser um nome de host DNS, mas contém um traço em uma posição inválida"
"'%value%' appears to be a DNS hostname but the given punycode notation cannot be decoded","'% valor %' parece ser um nome de host DNS, mas a notação de punycode determinado não pode ser decodificada."
"'%value%' appears to be a local network name but local network names are not allowed","'% valor %' parece ser um nome de rede local, mas não são permitidos nomes de rede local"
"'%value%' appears to be an IP address, but IP addresses are not allowed","'% valor %' parece ser um endereço IP, mas endereços IP não são permitidos"
"'%value%' does not appear to be a valid local network name","'% valor %' não parece ser um nome válido de rede local"
"* Required Fields","* Os campos obrigatórios"
"ALL GROUPS","TODOS OS GRUPOS"
"Account Dashboard","Painel de conta"
"Account Information","Informações da conta"
"Account Sharing Options","Opções de compartilhamento de conta"
"Account confirmation is required. Please, check your e-mail for confirmation link. To resend confirmation email please <a href=""%s"">click here</a>.","Confirmação de conta é necessária. Por favor, verifique seu e-mail para o link de confirmação. Para reenviar confirmação de e-mail, por favor <a href=""%s""> clique aqui</a>."
Action,Ação
"Add New Address","Adicionar novo endereço"
"Add New Customer","Adicionar novo cliente"
"Add New Customer Group","Adicionar novo grupo de cliente"
"Added From","Adicionado de"
"Additional Address Entries","Entradas adicionais do endereço"
Address,Endereço
"Address Book","Livro de endereços"
"Address Books","Livros de endereços"
"Address Information","Informações de endereço"
"Address Templates","Modelos de endereço"
Addresses,Endereços
Admin,Admin
All,"Todos os"
"All Store Views","Todos armazenam Views"
"All countries","Todos os países"
"Always optional.","Sempre opcional."
Amount,Quantidade
"An error occurred while deleting the address.","Ocorreu um erro ao excluir o endereço."
"An error occurred while retrieving the option value: %s.","Ocorreu um erro ao recuperar o valor de opção: %s."
"An error occurred while saving the collection, aborting. Error: %s","Ocorreu um erro ao salvar a coleção, abortando. Erro: %s"
"An invalid option ID is specified for %s (%s), skipping the record.","Uma opção inválida ID é especificado para %s (%s), ignorando o registro."
Approved,Aprovado
"Are you sure that you want to remove this item?","Tem certeza que deseja remover este item?"
"Are you sure you want to cancel adding of this address?","Tem certeza que deseja cancelar a adição deste endereço?"
"Are you sure you want to delete this address?","Tem certeza que deseja excluir este endereço?"
"Are you sure?","Tem certeza?"
"Array of Entity collections is expected.","Variedade de coleções de entidade é esperada."
"Assign a Customer Group","Atribuir um grupo de cliente"
"Average Sale","Venda média"
Back,Voltar
"Back - link to the previously viewed page","Back - link para a página vista anteriormente"
"Back to Login","Voltar para Login"
"Bad request.","Solicitação de ruim."
"Based on the VAT ID, the customer would belong to the Customer Group %s.","Com base na identificação de IVA, o cliente que pertencem ao grupo cliente %s."
"Bill to Name","Projeto de lei para nome"
"Bought From","Comprei de"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Criando uma conta com nossa loja, você será capaz de mover-se através do processo de check-out mais rápido, armazenar múltiplos endereços de envio, ver e rastrear seus pedidos em sua conta e muito mais."
CSV,CSV
Cancel,Cancelar
"Cannot save a new password.","Não é possível salvar uma nova senha."
"Cannot save address.","Não é possível salvar o endereço."
"Cannot save the customer.","Não é possível salvar o cliente."
"Cannot share customer accounts globally because some customer accounts with the same emails exist on multiple websites and cannot be merged.","Não é possível compartilhar contas de clientes globalmente porque algumas contas de clientes com os mesmos e-mails existem em vários sites e não podem ser mescladas."
"Change Account Password","Alterar senha de conta"
"Change Billing Address","Alterar endereço de cobrança"
"Change Password","Alterar senha"
"Change Shipping Address","Alterar endereço de entrega"
City,Cidade
Company,Empresa
Config,Config
Configure,Configurar
"Confirm New Password","Confirmar nova senha"
"Confirm Password","Confirmar senha"
"Confirmation Link Email","E-mail de confirmação de Link"
Confirmed,Confirmado
"Contact Information","Informações de contato"
"Continue Shopping","Continuar comprando"
Country,País
Create,Criar
"Create New Account Options","Criar novas opções de conta"
"Create New Customer Account","Criar nova conta de cliente"
"Create Order","Criar ordem"
"Create an Account","Criar uma conta"
"Create customer","Criar o cliente"
"Create customer address","Criar o endereço do cliente"
"Current Password","Senha atual"
Customer,Cliente
"Customer API","Cliente API"
"Customer Account Edit Form","Forma de editar conta cliente"
