"3D Secure","3D Secure"
"3D Secure Card Validation","Validação de cartão seguro 3D"
"API Login ID","API Login ID"
"Accepted Currency","Moeda aceite"
"Allow Partial Authorization","Permitir autorização parcial"
"Are you sure you want to cancel your payment? Click OK to cancel your payment and release the amount on hold. Click Cancel to enter another credit card and continue with your payment.","Tem certeza que deseja cancelar o seu pagamento? Clique em OK para cancelar seu pagamento e liberar o montante em espera. Clique em Cancelar para inserir outro cartão de crédito e continuar com seu pagamento."
"Authorize Only","Autorizar apenas"
"Authorize and Capture","Autorizar e capturar"
"Authorize.Net Transaction ID %s","ID da transação Authorize.Net %s"
Authorize.net,Authorize.net
Cancel,Cancelar
"Centinel API URL","URL Centinel API"
"Credit Card Types","Tipos de cartão de crédito"
"Credit Card Verification","Verificação do cartão de crédito"
"Credit Card: xxxx-%s","Cartão de crédito: xxxx-%s"
Debug,Depurar
"Email Customer","Cliente de e-mail"
Enabled,Habilitado
"Error in payment gateway.","Erro no gateway de pagamento."
"Gateway actions are locked because the gateway cannot complete one or more of the transactions. Please log in to your Authorize.Net account to manually resolve the issue(s).","As ações da Gateway estão bloqueadas porque o gateway não consegue concluir uma ou mais das operações. Por favor, entre sua conta Authorize.Net manualmente, resolver o problema."
"Gateway error: %s","Erro de gateway: %s"
"If empty, a default value will be used. Custom URL may be provided by CardinalCommerce agreement.","Se estiver vazio, um valor padrão será usado. URL personalizada pode ser fornecido pelo CardinalCommerce acordo."
"Invalid amount for authorization.","Valor inválido para autorização."
"Invalid amount for capture.","Valor inválido para captura."
"Invalid amount for partial authorization.","Valor inválido para autorização parcial."
"Invalid amount for refund.","Valor inválido para reembolso."
"Invalid split tenderId ID.","Inválido dividir tenderId ID."
"Maximum Order Total","Total máximo de ordem"
"Merchant's Email","E-mail do comerciante"
"Minimum Order Total","Ordem mínima Total"
"New Order Status","Novo Status do pedido"
"Parent Authorize.Net transaction (ID %s) expired","Pai transação Authorize.Net (ID %s) expirou"
"Payment Action","Ação de pagamento"
"Payment authorization error.","Erro de autorização de pagamento."
"Payment canceling error.","Pagamento cancelando o erro."
"Payment capturing error.","Pagamento capturando erro."
"Payment from Applicable Countries","Pagamento de países aplicáveis"
"Payment from Specific Countries","Pagamento de países específicos"
"Payment partial authorization error.","Erro de autorização parcial do pagamento."
"Payment refunding error.","Refunding erro de pagamento."
"Payment updating error.","Pagamento de erro de atualização."
"Payment voiding error.","Erro de anulação de pagamento."
"Processed Amount","Quantidade processada"
"Remaining Balance","Saldo remanescente"
"Severe 3D Secure Card Validation","Validação de cartão seguro 3D grave"
"Severe Validation Removes Chargeback Liability on Merchant","Validação grave remove Chargeback responsabilidade sobre mercador"
"Shopping cart contents and/or address has been changed.","Compras carrinho conteúdo e/ou endereço foi alterado."
"Sort Order","Ordem de classificação"
"Test Mode","Modo de teste"
"The amount on your credit card is insufficient to complete your purchase. The available amount has been put on hold. To complete your purchase click OK and specify additional credit card number. To cancel the purchase and release the amount on hold, click Cancel.","O valor no seu cartão de crédito é insuficiente para concluir a compra. O montante disponível tem sido colocado em espera. Para completar a sua compra, clique OK e especificar o número de cartão de crédito adicional. Para cancelar a compra e liberar o montante em espera, clique em cancelar."
"There was an error canceling transactions. Please contact us or try again later.","Houve um erro de cancelamento de transações. Por favor, entre em contato conosco, ou tente novamente mais tarde."
Title,Título
"Transaction Key","Chave de transação"
"You have reached the maximum number of credit card allowed to be used for the payment.","Atingiste o número máximo de cartão de crédito podem ser usados para o pagamento."
"You have reached the maximum number of credit cards that can be used for one payment. The available amounts on all used cards were insufficient to complete payment. The payment has been cancelled and amounts on hold have been released.","Atingiste o número máximo de cartões de crédito que pode ser usado para um pagamento. Os montantes disponíveis em todos os cartões usados eram insuficientes para completar o pagamento. O pagamento foi cancelado e montantes em espera tem sido liberados."
"Your credit card has been declined. Click OK to specify another credit card to complete your purchase. Click Cancel to release the amount on hold and select another payment method.","Seu cartão de crédito foi recusado. Clique em OK para especificar outro cartão de crédito para concluir a compra. Clique em Cancelar para liberar a quantidade em espera e selecione outro método de pagamento."
"Your order has not been placed, because contents of the shopping cart and/or address has been changed. Authorized amounts from your previous payment that were left pending are now released. Please go through the checkout process for your recent cart contents.","Seu pedido não tiver sido colocado, porque o conteúdo do carrinho de compras e/ou endereço foi alterado. Agora são liberados os montantes autorizados do seu pagamento anterior que ficaram pendentes. Por favor, passa pelo processo de check-out para o conteúdo do seu carrinho recentes."
"Your payment has been cancelled. All authorized amounts have been released.","Seu pagamento foi cancelado. Todos os montantes autorizados foram liberados."
"amount %s","quantidade %s"
authorize,autorizar
"authorize and capture","autorizar e capturar"
capture,captura
failed,falhou
refund,restituição
successful,"bem sucedido"
void,void
