"Abandoned Carts","Carrinhos de Compras Abandonados"
"Abandoned carts","Carrinhos de compra abandonados"
Action,Ação
"Add to Cart","Adicionar ao carrinho"
"Add to Compare","Adicionar para Comparar"
"Add to Wishlist","Adicionar à Lista de Desejos"
Any,"Qualquer um"
"Applied Coupon","Cupons aplicados"
"Applies to Any of the Specified Order Statuses","Aplica-se a qualquer um dos status de pedidos especificados"
"Are you sure you want to refresh lifetime statistics? There can be performance impact during this operation.","Tem certeza que deseja atualizar as estatísticas de tempo de vida útil? Pode ocorrer um impacto no desempenho durante esta operação."
"Are you sure?","Tem certeza?"
"Avg. Approved Rating","Taxa de aprovação média"
"Avg. Rating","Taxa média"
Bestsellers,"Mais vendidos"
"Bought from wishlists","Comprei da lista de desejos"
CSV,CSV
Carts,"Carrinhos de compra"
"Catalog Category (Without Subcategories)","Categoria do catálogo (Sem subcategorias)"
"Compared Products Grid Template","Modelo de grade de produtos comparados"
"Compared Products List Template","Modelo de lista de produtos comparados"
Coupons,Cupons
"Coupons Usage Report","Relatório de utilização de cupons"
"Created At","Criada Em"
"Current Month Starts","O mês atual começa"
Customer,"Nome do Cliente"
"Customer Name","Nome do cliente"
"Customer Tags","Etiquetas do cliente"
Customers,Clientes
"Customers Report","Relatórios de clientes"
"Customers Reviews","Análises dos clientes"
"Customers Tags","Etiquetas de clientes"
"Customers by Number of Orders","Clientes por número de ordens"
"Customers by Orders Total","Clientes por Total dos Pedidos"
"Customers by number of orders","Clientes por número de pedidos"
"Customers by orders total","Clientes por total de pedidos"
"Customers that have wishlist: %s%","Clientes que têm uma lista de presentes: %s%"
Dashboard,Painel
Day,Dia
"Default Recently Compared Products Count","Contagem padrão de produtos comparados recentemente"
"Default Recently Viewed Products Count","Contagem padrão de produtos visualizados recentemente"
Description,Descrição
Detail,Detalhe
Downloads,Transferências
Email,E-mail
"Empty Rows","Colunas vazias"
"Excel XML","Excel XML"
Filter,Filtro
"First Name","Primeiro nome"
From,De
Guest,Convidado
Hits,Críticas
ID,Identidade
"IP Address","Endereço de IP"
"Index model name must be defined","O nome do índice do modelo precisa ser definido"
"Invalid date specified.","Data especificada inválida."
Invoiced,Faturado
"Items in Cart","Itens no carrinho"
"Last Name","Último nome"
"Last Review","Última revisão"
Link,Link
"List of Products Recently Compared and Removed from the Compare List by Visitor","Lista de produtos comparados recentemente e removidos da lista de comparação pelo visitante"
"List of Products Recently Viewed by Visitor","Lista de produtos analisados recentemente pelo visitante"
"Low Stock","Baixo Estoque"
"Low stock","Estoque baixo"
"Match Period To","Período de partida para"
Month,Mês
"Most Viewed","Mais vistos"
Name,Nome
"New Accounts","Número de Novas Contas"
No,Não
"Number Added","Número Adicionado"
"Number Fulfilled","Número Cumprido"
"Number Of Reviews","Número de avaliações"
"Number Purchased","Número Comprado"
"Number Viewed","Número visto"
"Number of Items","Número de itens"
"Number of New Accounts","Número de novas contas"
"Number of Products to display","Números de Produtos para apresentar"
"Number of Reviews","Número de Comentários"
"Number of Times Deleted","Número de vezes eliminado"
"Number of Total Tags","Número de Tags Total"
"Number of Unique Tags","Número de marcas exclusivas"
"Number of Views","Número de visualizações"
"Number of items bought from a wishlist: %s","Número de itens comprados a partir de uma lista de desejos: %s"
"Number of times wishlists have been shared (emailed): %s","Número de vezes que listas de desejos foram compartilhadas (por e-mail): %s"
"Number of wishlist conversions: %s","Número de conversões na lista de desejos: %s"
