" for more information or "," para obter mais informações ou "
"# of Items (and above)","# de itens (e acima)"
"# of Items vs. Destination","n º de itens vs destino"
"Allow Shipping to Multiple Addresses","Permitir o envio para vários endereços"
"An error occurred while import table rates.","Ocorreu um erro enquanto taxas de tabela de importação."
"Calculate Handling Fee","Calcular a taxa de manuseio"
Carrier:,Transportadora:
City,Cidade
"Close Window","Fechar janela"
Condition,Condição
Country,País
Date,Data
"Delivered on:","Emitido em:"
"Delivered to:","Entregue-se a:"
Description,Descrição
"Displayed Error Message","Mensagem de erro exibida"
"Divide to equal weight (one request)","Divida o peso igual (uma solicitação)"
"Duplicate Row #%s (Country ""%s"", Region/State ""%s"", Zip ""%s"" and Value ""%s"").","Duplicar Row #%s (país ""%s"", região/estado ""%s"", CEP ""%s"" e o valor ""%s"")."
Enabled,Habilitado
Error:,Erro:
Export,Exportação
"File has not been imported. See the following list of errors: %s","Arquivo não tenha sido importado. Consulte a seguinte lista de erros: %s"
Fixed,Fixo
"Flat Rate","Taxa fixa"
"Free Shipping","Frete grátis"
"Google Sitemap Section","Google Sitemap seção"
"Handling Fee","Taxa de manuseio"
Import,Importação
"Include Virtual Products in Price Calculation","Incluir produtos virtuais no cálculo de preço"
Info:,Informação:
"Invalid %s ""%s"" in the Row #%s.","Inválido %s ""%s"" na linha de #%s."
"Invalid Country ""%s"" in the Row #%s.","País inválido ""%s"" na linha de #%s."
"Invalid Region/State ""%s"" in the Row #%s.","Região/estado inválido ""%s"" na linha de #%s."
"Invalid Shipping Price ""%s"" in the Row #%s.","Inválido de transporte preço ""%s"" na linha de #%s."
"Invalid Table Rate code for type %s: %s","Código de tabela taxa inválido para tipo de %s: %s"
"Invalid Table Rate code type: %s","Tipo de código inválido tabela taxa: %s"
"Invalid Table Rates File Format","Formato de arquivo inválido tabela taxas"
"Invalid Table Rates format in the Row #%s","Taxas de tabela inválido formato na linha de #%s"
"Local Time","Hora local"
Location,Localização
"Maximum Qty Allowed for Shipping to Multiple Addresses","Qtd máxima permitida para o transporte de vários endereços"
"Method Name","Nome do método"
"Minimum Order Amount","Quantidade de ordem mínima"
N/A,N/A
None,Nenhum
Options,Opções
"Order Subtotal (and above)","Ordem Subtotal (e acima)"
Origin,Origem
"Per Order","Por ordem"
"Per Package","Por pacote"
Percent,"Por cento"
Price,Preço
"Price vs. Destination","Preço vs. destino"
Region/State,Região/estado
"Service Type:","Tipo de serviço:"
"Ship to Applicable Countries","Navio para países aplicáveis"
"Ship to Specific Countries","Navio para países específicos"
"Shipment #","Expedição #"
"Shipment Tracking Popup","Popup de rastreamento de remessa"
"Shipped or billed on:","Enviados ou faturado em:"
"Shipping Methods","Métodos do transporte"
"Shipping Methods Section","Seção de métodos de envio"
"Shipping Settings","Configurações de frete"
"Shipping Settings Section","Seção de configurações de transporte"
"Show Method if Not Applicable","Método show se não aplicável"
"Signed by:","Assinado por:"
"Sort Order","Ordem de classificação"
Status:,Status:
"Store Pickup","Loja Pickup"
"Street Address","Endereço rua"
"Street Address Line 2","Linha de endereço 2"
"Table Rates","Taxas de tabela"
"The shipping module is not available for selected delivery country.","O módulo de transporte não está disponível para o país de entrega selecionada."
"The shipping module is not available.","O módulo de transporte não está disponível."
"There is no tracking available for this shipment.","Não há nenhum rastreamento disponível para esta expedição."
"There is no tracking available.","Não há nenhum rastreamento disponível."
"This shipping method is currently unavailable. If you would like to ship using this shipping method, please contact us.","Este método de envio não está atualmente disponível. Se você gostaria de enviar usando este método de envio, entre em contato conosco."
"This shipping method is not available, please specify ZIP-code","Este método de envio não está disponível, por favor especifique CEP"
Title,Título
Track:,Faixa:
"Tracking Information","Informações de rastreamento"
"Tracking Number:","Número de rastreamento:"
"Tracking information is currently not available. Please ","Informações de rastreamento atualmente não está disponível. Por favor, "
"Tracking information is currently unavailable.","Informações de rastreamento está indisponível no momento."
Type,Tipo
"Use origin weight (few requests)","Use o peso de origem (alguns pedidos)"
"Weight (and above)","Peso (e acima)"
"Weight vs. Destination","Peso vs. destino"
Weight:,Peso:
"ZIP/Postal Code","CEP/Código Postal"
"contact us",Contate-nos
"email us at ","Envie email para "
