"# of Uses","n º de utilizações"
"%s tag(s) have been accepted for moderation.","%s Tag (s) tenha sido aceites para moderação."
"<strong>Tag Name:</strong> %s","<strong>Tag nome:</strong> %s"
Action,Ação
Add,Adicionar
"Add New Tag","Adicionar nova Tag"
"Add Tags","Adicionar Tags"
"Add Your Tags:","Adicione suas Tags:"
"Add tag(s) to product","Adicionar a tag (s) de produto"
"Add to Cart","Adicionar ao carrinho"
"Add to Wishlist","Adicionar à lista de desejos"
"All Tags","Todas as Tags"
Approved,Aprovado
"Are you sure you want to delete this tag?","Tem certeza que deseja excluir esta marca?"
"Are you sure you want to do this?","Tem certeza que quer fazer isso?"
"Are you sure?","Tem certeza?"
Back,Voltar
"Back to Tags List","Voltar à lista de Tags"
"Base Popularity","Base em termos de popularidade"
"Block Information","Bloco informações"
CSV,CSV
"Catalog Product View","Exibição de produto do catálogo"
"Change status","Alterar status"
"Click on a tag to view your corresponding products.","Clique em uma marca para ver os seus produtos correspondentes."
Country,País
"Customer My Account My Tags List","Cliente minha conta meus Tags lista"
"Customer My Account Tag View","Ver os meu Tag de conta de cliente"
"Customer Since","Cliente desde"
Customers,Clientes
"Customers Submitted this Tag","Clientes enviada esta Tag"
"Customers Tagged '%s'","Os clientes com a tag ' %s'"
Delete,Excluir
"Delete Tag","Excluir Tag"
Disabled,"Com deficiência"
"Edit Tag '%s'","Editar Tag ' %s'"
Email,Email
"First Name","Primeiro nome"
"General Information","Informações gerais"
Grid,Grade
ID,ID
Info,Informação
"Last Name","Último nome"
List,Lista
"Manage Tags","Gerenciar Tags"
"My Recent Tags","Meus Tags recentes"
"My Tags","Minhas Tags"
Name,Nome
"New Tag","Nova Tag"
"No matches found.","Nenhuma correspondência encontrada."
"Other people marked this product with these tags:","Outras pessoas marcado este produto com estas tags:"
Pending,Pendente
"Pending Tags","Tags pendentes"
Popular,Popular
"Popular Tags","Tags populares"
Price,Preço
"Product Name","Nome do produto"
"Product SKU","Produto SKU"
"Product Tag API","Produto Tag API"
"Product Tags","Tags de produto"
Products,Produtos
"Products Tagged by Administrators","Produtos etiquetados pelos administradores"
"Products Tagged by Customers","Produtos etiquetados pelos clientes"
"Products Tagged with '%s'","Produtos marcados com ' %s'"
"Products tagged with '%s'","Produtos marcados com ' %s'"
"Rebuild Tag aggregation data","Reconstruir dados de agregação de Tag"
Remove,Remover
"Remove product tag","Remova a etiqueta do produto"
"Retrieve list of tags by product","Recuperar a lista de marcas por produto"
"Retrieve product tag info","Recuperar informação de marca do produto"
SKU,SKU
"Save Tag","Salvar Tag"
"Save and Continue Edit","Salvar e continuar a editar"
Status,Status
"Store View","Vista da loja"
Tag,Tag
"Tag ""%s"" has already been added to the product.","Tag ""%s"" já foi adicionada ao produto."
"Tag ""%s"" has been added to the product.","Tag ""%s"" foi adicionado ao produto."
"Tag ""%s"" has been rejected by administrator.","Tag ""%s"" foi rejeitada pelo administrador."
"Tag Aggregation Data","Dados de agregação de marca"
"Tag Name","Nome da marca"
"Tagged Products List","Lista de produtos marcados"
Tags,Tags
"Tags List (All Available)","Lista de Tags (todos disponíveis)"
"Tags List Before","Lista de Tags antes"
Tags:,Tags:
Telephone,Telefone
"The tag has been deleted.","A tag foi Excluídoda."
"There are no tags available.","Há não há etiquetas disponíveis."
"Unable to find any products tagged with '%s' in the current store","Não é possível encontrar todos os produtos marcados com ' %s' na loja atual"
"Unable to remove tag. Please, try again later.","Não é possível remover a tag. Por favor, tente novamente mais tarde."
"Unable to save tag(s).","Não é possível salvar Tag (s)."
Update,Atualização
"Update product tag","Marca de produto de atualização"
"Use spaces to separate tags. Use single quotes (') for phrases.","Use espaços para separar tags. Use aspas simples (') para frases."
"View All Tags","Ver os todas as Tags"
"View Customers","Clientes do vista"
"View Products","Ver os produtos"
XML,XML
"You have not tagged any products yet.","Você ainda não marcado todos os produtos."
"ZIP/Post Code","Código postal"
"[STORE VIEW]","[LOJA VISTA]"
