"All Websites","Todos os sites"
"Apply Discounts To FPT","Aplicam-se descontos para FPT"
"Apply Tax To FPT","Aplicar o imposto sobre a FPT"
"Display Prices In Emails","Exibir preços em E-mails"
"Display Prices In Product Lists","Exibir preços em listas de produtos"
"Display Prices In Sales Modules","Exibir preços em módulos de vendas"
"Display Prices On Product View Page","Exibir preços na página de visualização do produto"
"Enable FPT","Habilitar FPT"
"Excluding FPT","Excluindo a FPT"
"Excluding FPT, FPT description, final price","Excluindo a FPT, descrição da FPT, preço final"
"Fixed Product Tax","Imposto de produto fixo"
"Fixed Product Taxes","Impostos do produto fixo"
"Include FPT In Subtotal","Incluem FPT em Subtotal"
"Including FPT and FPT description","Incluindo FPT e FPT descrição"
"Including FPT and FPT description [incl. FPT VAT]","Incluindo FPT e FPT descrição [Incl. IVA FPT]"
"Including FPT only","Incluindo FPT só"
Total,Total
"Total Incl. Tax","Total imposto incl."
"Total excl. tax","Fiscal total excl..."
"Total incl. tax","Imposto total incl."
